hit_id,colloc,sent_text,neg_form,adv_form,adj_form,text_window,sent_id,prev_sent,sent_text,token_str,lemma_str,next_sent,neg_lemma,adv_lemma,adj_lemma,neg_index,adv_index,adj_index,dep_neg_source,dep_neg_target,dep_neg_relation,dep_mod_source,dep_mod_target,dep_mod_relation,json_source,match_ix,colloc,category
apw_eng_20041224_0108_5:2-3-4,immediately_clear,Is was not immediately clear when the new flights would start .,not,immediately,clear,Is was not immediately clear when the,apw_eng_20041224_0108_5,The cities are also springboards for Indian travelers to Sri Lanka .,Is was not immediately clear when the new flights would start .,Is was not immediately clear when the new flights would start .,Is be not immediately clear when the new flight would start .,"SriLankan Airlines , which flies to 42 destinations in 23 countries , is currently the country 's only international carrier .",not,immediately,clear,2,3,4,"{'lemma': 'clear', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'clear'}",neg,"{'lemma': 'clear', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'clear'}",advmod,apw_eng_200412,2-3-4,immediately_clear,immediateNeg
apw_eng_20041224_0086_4:11-12-13,immediately_available,"Further details about the man who turned himself in Friday were not immediately available , and it was unclear whether he was under any suspicion related to the slaying .",not,immediately,available,"Friday were not immediately available , and",apw_eng_20041224_0086_4,"Dunning was the first officer killed in the Solomons since Australian forces entered in July last year in a bid to stabilize the Pacific island nation after four years of communal strife left hundreds dead and up to 20,000 homeless .","Further details about the man who turned himself in Friday were not immediately available , and it was unclear whether he was under any suspicion related to the slaying .","further details about the man who turned himself in Friday were not immediately available , and it was unclear whether he was under any suspicion related to the slaying .","further detail about the man who turn himself in Friday be not immediately available , and it be unclear whether he be under any suspicion relate to the slaying .","Police also released the name of another Solomon Islander , James Tatau , who is wanted for questioning in connection with the shooting .",not,immediately,available,11,12,13,"{'lemma': 'available', 'ix': 13, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 11, 'xpos': 'RB', 'deprel': 'neg', 'head': 'available'}",neg,"{'lemma': 'available', 'ix': 13, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 12, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'available'}",advmod,apw_eng_200412,11-12-13,immediately_available,immediateNeg
apw_eng_20041224_0083_3:6-7-8,so_certain,Some U.N. diplomats and staff were n't so certain .,n't,so,certain,staff were n't so certain .,apw_eng_20041224_0083_3,"U.N. spokesman Fred Eckhard said Thursday it was purely coincidental that Annan 's chief of staff Iqbal Riza , Undersecretary-General for Management Catherine Bertini , and Controller Jean-Pierre Halbwachs would all be leaving .",Some U.N. diplomats and staff were n't so certain .,some U.N. diplomats and staff were n't so certain .,some U.N. diplomat and staff be not so certain .,"But whether or not the three independently decided to step down or were gently pushed out , the openings at the top will give the beleaguered secretary-general a chance to put in a new team at a critical time .",n't,so,certain,6,7,8,"{'lemma': 'certain', 'ix': 8, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 6, 'xpos': 'RB', 'deprel': 'neg', 'head': 'certain'}",neg,"{'lemma': 'certain', 'ix': 8, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'so', 'ix': 7, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'certain'}",advmod,apw_eng_200412,6-7-8,so_certain,immediateNeg
apw_eng_20041224_0073_5:2-3-4,immediately_available,Police were not immediately available for comment .,not,immediately,available,police were not immediately available for comment,apw_eng_20041224_0073_5,"A friend traveling with Tambalino also was attacked , and suffered injuries to his hand , he said .",Police were not immediately available for comment .,police were not immediately available for comment .,police be not immediately available for comment .,"Poso was a major battleground in fighting between Christians and Muslims four years ago on Sulawesi , where about 1,000 people were killed and thousands of others displaced .",not,immediately,available,2,3,4,"{'lemma': 'available', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'available'}",neg,"{'lemma': 'available', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'immediately', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'available'}",advmod,apw_eng_200412,2-3-4,immediately_available,immediateNeg
apw_eng_20041224_0034_3:35-37-38,suds_galore,"-LBQ-  Taste of Life ,  -RDQ-  Cambodia 's first soap opera , has all the usual fodder _ bad girls , do-gooders , love , temptation and numerous  -LBQ-  coincidences  -RDQ-  _ but it 's not just suds galore .",not,suds,galore,it 's not just suds galore .,apw_eng_20041224_0034_3,A male nurse enters a patient 's room and realizes she 's the woman he ran into with his motorcycle last night _ and the wife of the nursing school principal .,"-LBQ-  Taste of Life ,  -RDQ-  Cambodia 's first soap opera , has all the usual fodder _ bad girls , do-gooders , love , temptation and numerous  -LBQ-  coincidences  -RDQ-  _ but it 's not just suds galore .","`` Taste of Life , '' Cambodia 's first soap opera , has all the usual fodder _ bad girls , do-gooders , love , temptation and numerous `` coincidences '' _ but it 's not just suds galore .","`` taste of Life , '' Cambodia 's first soap opera , have all the usual fodder _ bad girl , do-gooders , love , temptation and numerous `` coincidence '' _ but it be not just suds galore .","The creators are weaving messages through the plot lines to help Cambodians improve their health , teach them about HIV\/AIDS and fight stigmas associated with the disease .",not,suds,galore,35,37,38,"{'lemma': 'galore', 'ix': 38, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'have'}","{'lemma': 'not', 'ix': 35, 'xpos': 'RB', 'deprel': 'neg', 'head': 'galore'}",neg,"{'lemma': 'galore', 'ix': 38, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'have'}","{'lemma': 'suds', 'ix': 37, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'galore'}",advmod,apw_eng_200412,35-37-38,suds_galore,immediateNeg
apw_eng_20041224_0032_11:3-4-5,even_sure,"-LBQ-  I 'm not even sure that -LRB- the judge -RRB- knows where Russia is located ,  -RDQ-  he said .",not,even,sure,I 'm not even sure that -LRB-,apw_eng_20041224_0032_11,"-LBQ-  It is inadmissible under international law not to observe so-called international politeness ... if our colleagues only like the last word in this phrase ` imperium ' and they apply it only to themselves ... then we must say that this kind of international relations-building does n't suit us ,  -RDQ-  Putin said .","-LBQ-  I 'm not even sure that -LRB- the judge -RRB- knows where Russia is located ,  -RDQ-  he said .","`` I 'm not even sure that -LRB- the judge -RRB- knows where Russia is located , '' he said .","`` I be not even sure that -lrb- the judge -rrb- know where Russia is locate , '' he say .",Analysts say the U.S. court decision stopped Gazprom from buying Yuganskneftegaz outright as had been expected .,not,even,sure,3,4,5,"{'lemma': 'sure', 'ix': 5, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'sure'}",neg,"{'lemma': 'sure', 'ix': 5, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'even', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'sure'}",advmod,apw_eng_200412,3-4-5,even_sure,immediateNeg
apw_eng_20041224_0021_29:21-22-23,so_sure,"The 40-year-old Cheadle , who with Bridgid Coulter -LRB- his wife in  -LBQ-  Rosewood  -RDQ-  -RRB- has two daughters , is n't so sure he would wish that on himself .",n't,so,sure,", is n't so sure he would",apw_eng_20041224_0021_29,"But the filmmaker , who directed the 1996 feature  -LBQ-  Some Mother 's Son  -RDQ-  and co-wrote the Jim Sheridan films  -LBQ-  In the Name of the Father  -RDQ-  and  -LBQ-  The Boxer ,  -RDQ-  would n't wish on Cheadle what he sees as the downside of being an A-list , $ 20 million -LRB- euro15 million -RRB- leading man .","The 40-year-old Cheadle , who with Bridgid Coulter -LRB- his wife in  -LBQ-  Rosewood  -RDQ-  -RRB- has two daughters , is n't so sure he would wish that on himself .","the 40-year-old Cheadle , who with Bridgid Coulter -LRB- his wife in `` Rosewood '' -RRB- has two daughters , is n't so sure he would wish that on himself .","the 40-year-old Cheadle , who with Bridgid Coulter -lrb- he wife in `` Rosewood '' -rrb- have two daughter , be not so sure he would wish that on himself .","He 's gratified by the Oscar buzz that 's accompanying his Golden Globe nomination , and thinks an Oscar might bring  -LBQ-  unlimited choices _ first crack at every script I see , being able to pick and choose which ones I wanted to do , which fit perfectly for my schedule for my family , for my schedule with my own desires and interests in taking on subject matters and characters that I want to do .  -RDQ-",n't,so,sure,21,22,23,"{'lemma': 'sure', 'ix': 23, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 21, 'xpos': 'RB', 'deprel': 'neg', 'head': 'sure'}",neg,"{'lemma': 'sure', 'ix': 23, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'so', 'ix': 22, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'sure'}",advmod,apw_eng_200412,21-22-23,so_sure,immediateNeg
apw_eng_20041224_0018_30:2-3-4,quite_sure,Graden 's not quite sure why  -LBQ-  Pimp My Ride  -RDQ-  is so big overseas .,not,quite,sure,Graden 's not quite sure why ``,apw_eng_20041224_0018_30,MTV in Germany is even making a pilot for a local variation  -COL-   -LBQ-  Pimp My Bicycle .  -RDQ-,Graden 's not quite sure why  -LBQ-  Pimp My Ride  -RDQ-  is so big overseas .,Graden 's not quite sure why `` Pimp My Ride '' is so big overseas .,Graden be not quite sure why `` Pimp My Ride '' be so big overseas .,"-LBQ-  My instinct is that there 's a certain fascination with the Southern California car culture as an expression of Americana ,  -RDQ-  he said .",not,quite,sure,2,3,4,"{'lemma': 'sure', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'sure'}",neg,"{'lemma': 'sure', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'quite', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'sure'}",advmod,apw_eng_200412,2-3-4,quite_sure,immediateNeg
apw_eng_20041224_0018_8:5-6-7,as_easy,-LBQ-  Back then it was not as easy .,not,as,easy,it was not as easy .,apw_eng_20041224_0018_8,"-LBQ-  It seems easy now ,  -RDQ-  Roedy said .",-LBQ-  Back then it was not as easy .,`` Back then it was not as easy .,`` back then it be not as easy .,I do n't think anyone imagined it would be like it is now .  -RDQ-,not,as,easy,5,6,7,"{'lemma': 'easy', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 5, 'xpos': 'RB', 'deprel': 'neg', 'head': 'easy'}",neg,"{'lemma': 'easy', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'as', 'ix': 6, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'easy'}",advmod,apw_eng_200412,5-6-7,as_easy,immediateNeg
apw_eng_20041224_0017_31:26-27-28,that_handsome,"-LBQ-  I hope to be treated normally , otherwise I will become annoying if I am seen on the TV all the time because I am not that handsome ,  -RDQ-  said Basescu .",not,that,handsome,"I am not that handsome , ''",apw_eng_20041224_0017_31,"I became smart and handsome ,  -RDQ-  he said .","-LBQ-  I hope to be treated normally , otherwise I will become annoying if I am seen on the TV all the time because I am not that handsome ,  -RDQ-  said Basescu .","`` I hope to be treated normally , otherwise I will become annoying if I am seen on the TV all the time because I am not that handsome , '' said Basescu .","`` I hope to be treat normally , otherwise I will become annoying if I am see on the tv all the time because I be not that handsome , '' say Basescu .",-LBQ-  We need professionalism in the press so we are sanctioned for our mistakes too .  -RDQ-,not,that,handsome,26,27,28,"{'lemma': 'handsome', 'ix': 28, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'see'}","{'lemma': 'not', 'ix': 26, 'xpos': 'RB', 'deprel': 'neg', 'head': 'handsome'}",neg,"{'lemma': 'handsome', 'ix': 28, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'see'}","{'lemma': 'that', 'ix': 27, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'handsome'}",advmod,apw_eng_200412,26-27-28,that_handsome,immediateNeg
apw_eng_20041223_0301_7:4-5-6,as_nervous,Stiller said he was not as nervous around De Niro as he was while shooting the original movie .,not,as,nervous,he was not as nervous around De,apw_eng_20041223_0301_7,"In the new film , Stiller , who plays Greg Focker , and his fiancee -LRB- Teri Polo -RRB- are preparing to wed , so it 's time for her parents _ the reserved Byrnes -LRB- Robert De Niro and Blythe Danner -RRB- _ to meet the irrepressibly liberal Fockers -LRB- Streisand and Dustin Hoffman -RRB- .",Stiller said he was not as nervous around De Niro as he was while shooting the original movie .,Stiller said he was not as nervous around De Niro as he was while shooting the original movie .,Stiller say he be not as nervous around De Niro as he be while shoot the original movie .,"-LBQ-  The first time around I was just so sort of intimidated and sort of like you know , in awe ,  -RDQ-  he said .",not,as,nervous,4,5,6,"{'lemma': 'nervous', 'ix': 6, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'not', 'ix': 4, 'xpos': 'RB', 'deprel': 'neg', 'head': 'nervous'}",neg,"{'lemma': 'nervous', 'ix': 6, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}","{'lemma': 'as', 'ix': 5, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'nervous'}",advmod,apw_eng_200412,4-5-6,as_nervous,immediateNeg
apw_eng_20041223_0271_11:45-46-47,even_comparable,"It 's not surprising that the Iraqi army is unable to maintain security , considering that even the United States that have the most powerful army in the world , have serious problems facing few Sunni rebels , that are equipped with resources that are not even comparable to those available to the American army .",not,even,comparable,that are not even comparable to those,apw_eng_20041223_0271_11,"La Stampa , Turin , Italy , on elections in Iraq .","It 's not surprising that the Iraqi army is unable to maintain security , considering that even the United States that have the most powerful army in the world , have serious problems facing few Sunni rebels , that are equipped with resources that are not even comparable to those available to the American army .","it 's not surprising that the Iraqi army is unable to maintain security , considering that even the United States that have the most powerful army in the world , have serious problems facing few Sunni rebels , that are equipped with resources that are not even comparable to those available to the American army .","it be not surprising that the iraqi army be unable to maintain security , consider that even the United States that have the most powerful army in the world , have serious problem face few Sunni rebel , that are equip with resource that be not even comparable to those available to the american army .",It is probable that ... the guerrilla could be fought more effectively with special corps and properly trained police forces rather than a regular army .,not,even,comparable,45,46,47,"{'lemma': 'comparable', 'ix': 47, 'xpos': 'JJ', 'deprel': 'rcmod', 'head': 'resource'}","{'lemma': 'not', 'ix': 45, 'xpos': 'RB', 'deprel': 'neg', 'head': 'comparable'}",neg,"{'lemma': 'comparable', 'ix': 47, 'xpos': 'JJ', 'deprel': 'rcmod', 'head': 'resource'}","{'lemma': 'even', 'ix': 46, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'comparable'}",advmod,apw_eng_200412,45-46-47,even_comparable,immediateNeg
apw_eng_20041223_0222_8:27-28-29,as_sensitive,"Doping expert Hans Holdhaus , managing director of the Vienna-based Institute for Medical and Sport Scientific Consulting , believes such attitudes reflect that Austrian athletes are  -LBQ-  not as sensitive or well-advised  -RDQ-  as other sports stars about drug issues .",not,as,sensitive,are `` not as sensitive or well-advised,apw_eng_20041223_0222_8,"Knauss , too , denies having ingested any banned substance knowingly .","Doping expert Hans Holdhaus , managing director of the Vienna-based Institute for Medical and Sport Scientific Consulting , believes such attitudes reflect that Austrian athletes are  -LBQ-  not as sensitive or well-advised  -RDQ-  as other sports stars about drug issues .","doping expert Hans Holdhaus , managing director of the Vienna-based Institute for Medical and Sport Scientific Consulting , believes such attitudes reflect that Austrian athletes are `` not as sensitive or well-advised '' as other sports stars about drug issues .","doping expert Hans Holdhaus , managing director of the Vienna-based Institute for Medical and Sport Scientific Consulting , believe such attitude reflect that austrian athlete be `` not as sensitive or well-advised '' as other sport star about drug issue .","-LBQ-  Austria is not a doping nation , despite the increasing number of cases ,  -RDQ-  he said .",not,as,sensitive,27,28,29,"{'lemma': 'sensitive', 'ix': 29, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'reflect'}","{'lemma': 'not', 'ix': 27, 'xpos': 'RB', 'deprel': 'neg', 'head': 'sensitive'}",neg,"{'lemma': 'sensitive', 'ix': 29, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'reflect'}","{'lemma': 'as', 'ix': 28, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'sensitive'}",advmod,apw_eng_200412,27-28-29,as_sensitive,immediateNeg
