hit_id,colloc,sent_text,neg_form,adv_form,adj_form,text_window,sent_id,prev_sent,token_str,lemma_str,next_sent,neg_lemma,adv_lemma,adj_lemma,neg_index,adv_index,adj_index,dep_neg_source,dep_neg_target,dep_neg_relation,dep_mod_source,dep_mod_target,dep_mod_relation,json_source,match_ix,category
nyt_eng_19980523_0276_47:27-28-29,less_glorious,"As long as he 's here , this scorched patch of urban desert , fencedin and abandoned , scattered with debris , flagless , quiet , is no less glorious than the graveyard at Arlington .",no,less,glorious,", is no less glorious than the",nyt_eng_19980523_0276_47,"Among these 2,400 spirits , however , there is a soldier , a hero .","as long as he 's here , this scorched patch of urban desert , fencedin and abandoned , scattered with debris , flagless , quiet , is no less glorious than the graveyard at Arlington .","as long as he be here , this scorched patch of urban desert , fencedin and abandon , scatter with debris , flagless , quiet , be no less glorious than the graveyard at Arlington .",It 's hallowed ground .,no,less,glorious,27,28,29,"{'lemma': 'glorious', 'ix': 29, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'no', 'ix': 27, 'xpos': 'DT', 'deprel': 'dep', 'head': 'glorious'}",dep,"{'lemma': 'glorious', 'ix': 29, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'less', 'ix': 28, 'xpos': 'RBR', 'deprel': 'advmod', 'head': 'glorious'}",advmod,nyt_eng_199805,27-28-29,immediateNeg
nyt_eng_19980523_0275_19:4-6-7,so_surprising,So perhaps it should n't be so surprising to find the Jazz players reading each other like old married couples while the Lakers interact as though they 're still in the dating stage .,n't,so,surprising,it should n't be so surprising to find,nyt_eng_19980523_0275_19,That means the nucleus of the Jazz 's roster can draw on nine previous rounds of shared playoff experience -LRB- compared to the Lakers ' four -RRB- .,so perhaps it should n't be so surprising to find the Jazz players reading each other like old married couples while the Lakers interact as though they 're still in the dating stage .,so perhaps it should not be so surprising to find the jazz player read each other like old married couple while the Lakers interact as though they be still in the date stage .,"-LBQ-  -LRB- The Lakers -RRB- will be better players , mentally , at 32 or 34 than they are now ,  -RDQ-  said coach Del Harris .",n't,so,surprising,4,6,7,"{'lemma': 'surprising', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 4, 'xpos': 'RB', 'deprel': 'neg', 'head': 'surprising'}",neg,"{'lemma': 'surprising', 'ix': 7, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'so', 'ix': 6, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'surprising'}",advmod,nyt_eng_199805,4-6-7,immediateNeg
nyt_eng_19980523_0272_45:11-13-14,more_valuable,"It 's tempting to trade him now , assuming he 'll never appear more valuable and knowing his cheap , rookie contract will be up after next season .",never,more,valuable,he 'll never appear more valuable and knowing,nyt_eng_19980523_0272_45,Keep Derek Fisher .,"it 's tempting to trade him now , assuming he 'll never appear more valuable and knowing his cheap , rookie contract will be up after next season .","it be tempting to trade he now , assume he 'll never appear more valuable and know he cheap , rookie contract will be up after next season .",But Van Exel 's tender knees make a solid second point guard vital .,never,more,valuable,11,13,14,"{'lemma': 'valuable', 'ix': 14, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'assume'}","{'lemma': 'never', 'ix': 11, 'xpos': 'RB', 'deprel': 'neg', 'head': 'valuable'}",neg,"{'lemma': 'valuable', 'ix': 14, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'assume'}","{'lemma': 'more', 'ix': 13, 'xpos': 'RBR', 'deprel': 'advmod', 'head': 'valuable'}",advmod,nyt_eng_199805,11-13-14,immediateNeg
nyt_eng_19980523_0264_4:11-12-13,entirely_convinced,"LaDonna gave in , but months later , she 's still not entirely convinced .",not,entirely,convinced,'s still not entirely convinced .,nyt_eng_19980523_0264_4,"Donnie wanted to stay , drawn by family , friends and the desire not to uproot their third-grader , Duston .","LaDonna gave in , but months later , she 's still not entirely convinced .","LaDonna give in , but month later , she be still not entirely convinced .","-LBQ-  I wish , a lot of times , that we had moved ,  -RDQ-  LaDonna said .",not,entirely,convinced,11,12,13,"{'lemma': 'convinced', 'ix': 13, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'give'}","{'lemma': 'not', 'ix': 11, 'xpos': 'RB', 'deprel': 'neg', 'head': 'convinced'}",neg,"{'lemma': 'convinced', 'ix': 13, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'give'}","{'lemma': 'entirely', 'ix': 12, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'convinced'}",advmod,nyt_eng_199805,11-12-13,immediateNeg
nyt_eng_19980523_0261_42:10-12-13,as_pretentious,"On the bench , Red Wings coach Scotty Bowman is n't nearly as pretentious with his psychology as Bulls zen master Phil Jackson , but they 've read the same books .",n't,as,pretentious,Bowman is n't nearly as pretentious with his,nyt_eng_19980523_0261_42,"Of course , he 'll wait until after he comes up big with an offensive rebound or a well-placed elbow before he starts celebrating .","on the bench , Red Wings coach Scotty Bowman is n't nearly as pretentious with his psychology as Bulls zen master Phil Jackson , but they 've read the same books .","on the bench , Red Wings coach Scotty Bowman be not nearly as pretentious with he psychology as Bulls zen master Phil Jackson , but they 've read the same book .","And like Jackson , Bowman has a way of running a system that is bigger than any of us .",n't,as,pretentious,10,12,13,"{'lemma': 'pretentious', 'ix': 13, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 10, 'xpos': 'RB', 'deprel': 'neg', 'head': 'pretentious'}",neg,"{'lemma': 'pretentious', 'ix': 13, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'as', 'ix': 12, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'pretentious'}",advmod,nyt_eng_199805,10-12-13,immediateNeg
nyt_eng_19980523_0261_33:4-5-6,quite_Jordan,"The swift center is n't quite Jordan , but he 's cut from the same cloth .",n't,quite,Jordan,"center is n't quite Jordan , but",nyt_eng_19980523_0261_33,They have their go-to-Michael-Jordan-guy in Sergei Fedorov .,"the swift center is n't quite Jordan , but he 's cut from the same cloth .","the swift center be not quite jordan , but he 's cut from the same cloth .","Like His Airness , Fedorov has won a most valuable player award and a defensive player of the year award .",n't,quite,Jordan,4,5,6,"{'lemma': 'jordan', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 4, 'xpos': 'RB', 'deprel': 'neg', 'head': 'jordan'}",neg,"{'lemma': 'jordan', 'ix': 6, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'quite', 'ix': 5, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'jordan'}",advmod,nyt_eng_199805,4-5-6,immediateNeg
nyt_eng_19980523_0245_41:10-11-12,all_fun-money,"Some of them are probably cash , but it 's not all fun-money unless you say it is .",not,all,fun-money,it 's not all fun-money unless you,nyt_eng_19980523_0245_41,Work those graduation gifts .,"some of them are probably cash , but it 's not all fun-money unless you say it is .","some of they be probably cash , but it be not all fun-money unless you say it be .","You can also choose , for example , to start an investment program .",not,all,fun-money,10,11,12,"{'lemma': 'fun-money', 'ix': 12, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'cash'}","{'lemma': 'not', 'ix': 10, 'xpos': 'RB', 'deprel': 'neg', 'head': 'fun-money'}",neg,"{'lemma': 'fun-money', 'ix': 12, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'cash'}","{'lemma': 'all', 'ix': 11, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'fun-money'}",advmod,nyt_eng_199805,10-11-12,immediateNeg
nyt_eng_19980523_0240_1:15-16-17,much_different,"Jeff Blauser strolled into the clubhouse at Turner Field again Friday , and it was n't much different than many of his trips last year .",n't,much,different,it was n't much different than many,nyt_eng_19980523_0240_1,,"Jeff Blauser strolled into the clubhouse at Turner Field again Friday , and it was n't much different than many of his trips last year .","Jeff Blauser stroll into the clubhouse at Turner Field again Friday , and it be not much different than many of he trip last year .","He rolled up on his Harley , took off his black helmet , grinned a lot , had a few jokes for clubhouse workers , and soon began fiddling around in his locker .",n't,much,different,15,16,17,"{'lemma': 'different', 'ix': 17, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'stroll'}","{'lemma': 'not', 'ix': 15, 'xpos': 'RB', 'deprel': 'neg', 'head': 'different'}",neg,"{'lemma': 'different', 'ix': 17, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'stroll'}","{'lemma': 'much', 'ix': 16, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'different'}",advmod,nyt_eng_199805,15-16-17,immediateNeg
nyt_eng_19980523_0229_35:6-7-8,as_good,"But although Wells ' stuff was not as good as it was when he pitched the perfect game , it was good enough .",not,as,good,stuff was not as good as it,nyt_eng_19980523_0229_35,"Wells faltered in the fourth , giving up a home run to Mo Vaughn and another to Troy O'Leary .","but although Wells ' stuff was not as good as it was when he pitched the perfect game , it was good enough .","but although Wells ' stuff be not as good as it be when he pitch the perfect game , it be good enough .","He settled down , threw strikes and always attacked the Boston hitters .",not,as,good,6,7,8,"{'lemma': 'good', 'ix': 8, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'good'}","{'lemma': 'not', 'ix': 6, 'xpos': 'RB', 'deprel': 'neg', 'head': 'good'}",neg,"{'lemma': 'good', 'ix': 8, 'xpos': 'JJ', 'deprel': 'advcl', 'head': 'good'}","{'lemma': 'as', 'ix': 7, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'good'}",advmod,nyt_eng_199805,6-7-8,immediateNeg
nyt_eng_19980523_0221_14:3-4-5,anywhere_near,"The stakes are n't anywhere near as high as they were last time , though .",n't,anywhere,near,stakes are n't anywhere near as high,nyt_eng_19980523_0221_14,Top two in each remain in the A pool .,"the stakes are n't anywhere near as high as they were last time , though .","the stake be not anywhere near as high as they be last time , though .","Even if the Americans descend into the B pool and stay there , they get an automatic host bid to the 2002 Winter Games in Salt Lake City ...",n't,anywhere,near,3,4,5,"{'lemma': 'near', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'neg', 'head': 'near'}",neg,"{'lemma': 'near', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'anywhere', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'near'}",advmod,nyt_eng_199805,3-4-5,immediateNeg
nyt_eng_19980523_0220_14:11-13-14,as_fast,"-LBQ-  I am a little concerned that the G-Force chassis has not been as fast right now as the Dallara chassis ,  -RDQ-  said Scott Goodyear , who has the second-fastest G-Force in the field , good for a spot on the inside of Row 4 .",not,as,fast,chassis has not been as fast right now,nyt_eng_19980523_0220_14,"Quite simply , it has everything to do with the fact that all three in the front row will be driving the preferred Dallara chassis , while Luyendyk and Boesel will be piloting the G-Force , which has struggled to get up to speed at the Brickyard .","`` I am a little concerned that the G-Force chassis has not been as fast right now as the Dallara chassis , '' said Scott Goodyear , who has the second-fastest G-Force in the field , good for a spot on the inside of Row 4 .","`` I be a little concerned that the g-force chassis has not be as fast right now as the Dallara chassis , '' say Scott Goodyear , who have the second-fastest g-force in the field , good for a spot on the inside of row 4 .","-LBQ-  I spoke with some of my colleagues with the G-Force this week , including Arie , and they said when they tried to go fast in their qualifying trim , it really slid .",not,as,fast,11,13,14,"{'lemma': 'fast', 'ix': 14, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'concerned'}","{'lemma': 'not', 'ix': 11, 'xpos': 'RB', 'deprel': 'neg', 'head': 'fast'}",neg,"{'lemma': 'fast', 'ix': 14, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'concerned'}","{'lemma': 'as', 'ix': 13, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'fast'}",advmod,nyt_eng_199805,11-13-14,immediateNeg
nyt_eng_19980523_0216_5:23-28-29,remotely_acceptable,"Four of the sites being studied for the plant are in Westchester County , but the county executive there has flatly declared that none of them are even remotely acceptable .",none,remotely,acceptable,declared that none of them are even remotely acceptable .,nyt_eng_19980523_0216_5,"Perhaps more daunting , if it does move to construct the plant , there is likely to be a bitter battle over where to put it .","four of the sites being studied for the plant are in Westchester County , but the county executive there has flatly declared that none of them are even remotely acceptable .","four of the site being study for the plant be in Westchester County , but the county executive there has flatly declare that none of they be even remotely acceptable .",And New York City 's big unions and construction interests are appalled at the notion of such a big project being built outside the city .,none,remotely,acceptable,23,28,29,"{'lemma': 'acceptable', 'ix': 29, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'declare'}","{'lemma': 'none', 'ix': 23, 'xpos': 'NN', 'deprel': 'nsubj', 'head': 'acceptable'}",nsubj,"{'lemma': 'acceptable', 'ix': 29, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'declare'}","{'lemma': 'remotely', 'ix': 28, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'acceptable'}",advmod,nyt_eng_199805,23-28-29,immediateNeg
nyt_eng_19980523_0215_90:13-14-15,even_close,"-LBQ-  The other one -LRB- Red McDavid from Williamstown , N.C. -RRB- was n't even close to being a pro .",n't,even,close,-RRB- was n't even close to being,nyt_eng_19980523_0215_90,"-LBQ-  Since Garnett came out , we 've had five kids declare and four went in the first round , the lowest being -LRB- Jermaine -RRB- O'Neal at Portland ,  -RDQ-  Wallace said .","`` The other one -LRB- Red McDavid from Williamstown , N.C. -RRB- was n't even close to being a pro .","`` the other one -lrb- Red McDavid from Williamstown , N.C. -rrb- be not even close to be a pro .","But if you ask the people that made those picks , my guess is they 'd make them again .",n't,even,close,13,14,15,"{'lemma': 'close', 'ix': 15, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'not', 'ix': 13, 'xpos': 'RB', 'deprel': 'neg', 'head': 'close'}",neg,"{'lemma': 'close', 'ix': 15, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}","{'lemma': 'even', 'ix': 14, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'close'}",advmod,nyt_eng_199805,13-14-15,immediateNeg
nyt_eng_19980523_0215_40:2-3-4,that_difficult,It was n't that difficult .  -RDQ-,n't,that,difficult,it was n't that difficult . '',nyt_eng_19980523_0215_40,-LBQ-  They had to .,it was n't that difficult . '',it be not that difficult . '',Russell then cautioned against what he called a  -LBQ-  rush to judgment  -RDQ-  on the team .,n't,that,difficult,2,3,4,"{'lemma': 'difficult', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': ""''""}","{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'neg', 'head': 'difficult'}",neg,"{'lemma': 'difficult', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': ""''""}","{'lemma': 'that', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'difficult'}",advmod,nyt_eng_199805,2-3-4,immediateNeg
nyt_eng_19980523_0204_111:20-21-22,as_smart,"-LBQ-  My brother got in trouble because he tried to do the same things I did , but he was n't as smart ,  -RDQ-  Coleman says .",n't,as,smart,"he was n't as smart , ''",nyt_eng_19980523_0204_111,"The brother is in prison in Ohio , serving a life sentence for armed robbery and murder .","`` My brother got in trouble because he tried to do the same things I did , but he was n't as smart , '' Coleman says .","`` my brother get in trouble because he try to do the same thing I did , but he be not as smart , '' Coleman say .",-LBQ-  I was supposed to look after him .,n't,as,smart,20,21,22,"{'lemma': 'smart', 'ix': 22, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'get'}","{'lemma': 'not', 'ix': 20, 'xpos': 'RB', 'deprel': 'neg', 'head': 'smart'}",neg,"{'lemma': 'smart', 'ix': 22, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'get'}","{'lemma': 'as', 'ix': 21, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'smart'}",advmod,nyt_eng_199805,20-21-22,immediateNeg
