hit_id|colloc|sent_text|neg_form|adv_form|adj_form|hit_text|text_window|sent_id|prev_id|prev_sent|next_id|next_sent|token_str|lemma_str|neg_lemma|adv_lemma|adj_lemma|neg_index|adv_index|adj_index|dep_neg_source|dep_neg_target|dep_neg_relation|dep_mod_source|dep_mod_target|dep_mod_relation|json_source|match_ix|utt_len|colloc_id|category
pcc_eng_29_109.6593_x1750867_034:3-6-7|fully_transparent|"""They have not really been fully transparent in telling us in advance what was going on"", Mr. El-Baradei told the BBC, according to a Reuters dispatch from Vienna, where IAEA is based."|not|fully|transparent|not really been fully transparent|""" They have not really been fully transparent in telling us in"|pcc_eng_29_109.6593_x1750867_034|pcc_eng_29_109.6593_x1750867_033|Stopping short of accusing the Islamic Republic of lying to him about its atomic projects for military purposes, the IAEA Chief said Iran had failed to give the IAEA a complete picture of its nuclear programs.|pcc_eng_29_109.6593_x1750867_035|"Asked if he believed Iran was running a secret weapons program, El Baradei said: ""It might be, it might not be."""|""" They have not really been fully transparent in telling us in advance what was going on "" , Mr. El-Baradei told the BBC , according to a Reuters dispatch from Vienna , where IAEA is based ."|""" they have not really be fully transparent in tell we in advance what be go on "" , Mr. El-Baradei tell the BBC , accord to a Reuters dispatch from Vienna , where IAEA be base ."|not|fully|transparent|3|6|7|{'lemma': 'transparent', 'ix': 7, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'tell'}|{'lemma': 'not', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'transparent'}|advmod|{'lemma': 'transparent', 'ix': 7, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'tell'}|{'lemma': 'fully', 'ix': 6, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'transparent'}|advmod|pcc_eng_29-109|3-6-7|38|pcc_eng_29_109.6593_x1750867_034-7-8|contig
pcc_eng_29_109.6589_x1750860_283:0-1-2|very_dreamlike|Not very dreamlike at all, if you get me, more like my brain opening up doors and me saying, 'Oh, yes, that's how it was.'|Not|very|dreamlike|Not very dreamlike|Not very dreamlike at all , if|pcc_eng_29_109.6589_x1750860_283|pcc_eng_29_109.6589_x1750860_282|That night, I had a dream that was like remembering things.|pcc_eng_29_109.6589_x1750860_284|I tried to tell myself it was because of this conversation with a friend - and it probably was - but kept thinking about it.|Not very dreamlike at all , if you get me , more like my brain opening up doors and me saying , ' Oh , yes , that 's how it was . '|not very dreamlike at all , if you get I , more like my brain open up door and I say , ' oh , yes , that be how it be . '|Not|very|dreamlike|0|1|2|"{'lemma': 'dreamlike', 'ix': 2, 'xpos': 'JJ', 'deprel': 'root', 'head': ""'""}"|{'lemma': 'not', 'ix': 0, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'dreamlike'}|advmod|"{'lemma': 'dreamlike', 'ix': 2, 'xpos': 'JJ', 'deprel': 'root', 'head': ""'""}"|{'lemma': 'very', 'ix': 1, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'dreamlike'}|advmod|pcc_eng_29-109|0-1-2|34|pcc_eng_29_109.6589_x1750860_283-2-3|contig
pcc_eng_29_109.6589_x1750860_262:2-3-4|so_bad|It wasn't so bad.|n't|so|bad|n't so bad|It was n't so bad .|pcc_eng_29_109.6589_x1750860_262|pcc_eng_29_109.6589_x1750860_261|Then Mil came and I wanted to be on my own, and I did it.|pcc_eng_29_109.6589_x1750860_263|Then I was afraid of going out alone with them.|It was n't so bad .|it be not so bad .|n't|so|bad|2|3|4|{'lemma': 'bad', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'bad'}|advmod|{'lemma': 'bad', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'so', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'bad'}|advmod|pcc_eng_29-109|2-3-4|6|pcc_eng_29_109.6589_x1750860_262-4-5|contig
pcc_eng_29_109.6589_x1750860_025:2-4-5|that_bad|It wasn't really that bad of a transition, though I think Snort had a couple of wee problems at the beginning.|n't|that|bad|n't really that bad|It was n't really that bad of a transition ,|pcc_eng_29_109.6589_x1750860_025|pcc_eng_29_109.6589_x1750860_024|Our room does not have space for two cribs, so they moved into the second bedroom then.|pcc_eng_29_109.6589_x1750860_026|(Coconut sleeps like a brick shithouse.)|It was n't really that bad of a transition , though I think Snort had a couple of wee problems at the beginning .|it be not really that bad of a transition , though I think Snort have a couple of wee problem at the beginning .|n't|that|bad|2|4|5|{'lemma': 'bad', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'bad'}|advmod|{'lemma': 'bad', 'ix': 5, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'that', 'ix': 4, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'bad'}|advmod|pcc_eng_29-109|2-4-5|24|pcc_eng_29_109.6589_x1750860_025-5-6|contig
pcc_eng_29_109.6580_x1750844_23:6-7-8|so_different|There's an original-series episode not so different from the Heaven's Gate scenario.|not|so|different|not so different|original -series episode not so different from the Heaven 's|pcc_eng_29_109.6580_x1750844_23|pcc_eng_29_109.6580_x1750844_22|Let's look at the record.|pcc_eng_29_109.6580_x1750844_24|In the third season's|There 's an original -series episode not so different from the Heaven 's Gate scenario .|there be a original -sery episode not so different from the Heaven 's Gate scenario .|not|so|different|6|7|8|{'lemma': 'different', 'ix': 8, 'xpos': 'JJ', 'deprel': 'amod', 'head': 'episode'}|{'lemma': 'not', 'ix': 6, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'different'}|advmod|{'lemma': 'different', 'ix': 8, 'xpos': 'JJ', 'deprel': 'amod', 'head': 'episode'}|{'lemma': 'so', 'ix': 7, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'different'}|advmod|pcc_eng_29-109|6-7-8|16|pcc_eng_29_109.6580_x1750844_23-8-9|contig
pcc_eng_29_109.6577_x1750838_11:27-29-30|as_costly|The shippers bought it but left the rails in place, good steel despite weeds and trees that have grown up along it, so it won't be as costly to rehabilitate this line as it would be to build a new one.|n't|as|costly|n't be as costly|so it wo n't be as costly to rehabilitate this line|pcc_eng_29_109.6577_x1750838_11|pcc_eng_29_109.6577_x1750838_10|Baer says this is a more likely prospect than many of the miles of abandoned railroad right-of-way that still cross the state.|pcc_eng_29_109.6577_x1750838_12|The D-O-T will contribute a little over 70-thousand dollars to renovate the line, part of a railroad which was first built in 1868 to haul coal from mines north of Eldora.|The shippers bought it but left the rails in place , good steel despite weeds and trees that have grown up along it , so it wo n't be as costly to rehabilitate this line as it would be to build a new one .|the shipper buy it but leave the rail in place , good steel despite weed and tree that have grow up along it , so it will not be as costly to rehabilitate this line as it would be to build a new one .|n't|as|costly|27|29|30|{'lemma': 'costly', 'ix': 30, 'xpos': 'JJ', 'deprel': 'parataxis', 'head': 'buy'}|{'lemma': 'not', 'ix': 27, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'costly'}|advmod|{'lemma': 'costly', 'ix': 30, 'xpos': 'JJ', 'deprel': 'parataxis', 'head': 'buy'}|{'lemma': 'as', 'ix': 29, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'costly'}|advmod|pcc_eng_29-109|27-29-30|45|pcc_eng_29_109.6577_x1750838_11-30-31|contig
pcc_eng_29_109.6553_x1750800_058:58-59-60|so_free|I just had to calm down enough till the next day when I went to the bank to make complaints and I eventually found out that I did the evil to myself by not only signing up in the first place but also entering my card details and then not canceling the subscription immediately after the free, not so free trial.|not|so|free|not so free|the free , not so free trial .|pcc_eng_29_109.6553_x1750800_058|pcc_eng_29_109.6553_x1750800_057|I was further confused tbh and in a state of mind that wouldn't allow me stay alone that night.|pcc_eng_29_109.6553_x1750800_059|Of course, all of this I would have known if I had taken time to read and understand the information on the site.|I just had to calm down enough till the next day when I went to the bank to make complaints and I eventually found out that I did the evil to myself by not only signing up in the first place but also entering my card details and then not canceling the subscription immediately after the free , not so free trial .|I just have to calm down enough till the next day when I go to the bank to make complaint and I eventually find out that I do the evil to myself by not only sign up in the first place but also enter my card detail and then not cancel the subscription immediately after the free , not so free trial .|not|so|free|58|59|60|{'lemma': 'free', 'ix': 60, 'xpos': 'JJ', 'deprel': 'amod', 'head': 'trial'}|{'lemma': 'not', 'ix': 58, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'free'}|advmod|{'lemma': 'free', 'ix': 60, 'xpos': 'JJ', 'deprel': 'amod', 'head': 'trial'}|{'lemma': 'so', 'ix': 59, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'free'}|advmod|pcc_eng_29-109|58-59-60|63|pcc_eng_29_109.6553_x1750800_058-60-61|contig
pcc_eng_29_109.6549_x1750792_58:2-3-4|really_beneficial|It's never really beneficial for us to take our foot off the gas too much, so we always knew we would eventually came back around to it.|never|really|beneficial|never really beneficial|It 's never really beneficial for us to take|pcc_eng_29_109.6549_x1750792_58|pcc_eng_29_109.6549_x1750792_57|But while you'll hear from fans who still say that there's too many events and too much stuff, on the other hand, there's a whole bunch of other fans wondering, 'When is something big and exciting going to happen?'|pcc_eng_29_109.6549_x1750792_59|"It's really just a gut thing."""|It 's never really beneficial for us to take our foot off the gas too much , so we always knew we would eventually came back around to it .|it be never really beneficial for we to take we foot off the gas too much , so we always know we would eventually come back around to it .|never|really|beneficial|2|3|4|{'lemma': 'beneficial', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'never', 'ix': 2, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'beneficial'}|advmod|{'lemma': 'beneficial', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'really', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'beneficial'}|advmod|pcc_eng_29-109|2-3-4|30|pcc_eng_29_109.6549_x1750792_58-4-5|contig
pcc_eng_29_109.6530_x1750761_20:26-27-28|so_good|"""For a guy like me, with five or six generations from the same town in America, to leave America, things gotta be not so good with America,"" he said."|not|so|good|not so good|"things gotta be not so good with America , """|pcc_eng_29_109.6530_x1750761_20|pcc_eng_29_109.6530_x1750761_19|"The Brooklyn native told South Africa's Mail & Guardian in 2014 that he was attracted to Cape Town by the ""good vibes"" and the thriving art scene as well as dissatisfaction with his home country."|pcc_eng_29_109.6530_x1750761_21|"In May 2014, when the politically outspoken rapper canceled a few U.S. tour dates, there were rumors picked up by several news outlets that Bey was being prevented from returning to the United States due to ""immigration issues."""|""" For a guy like me , with five or six generations from the same town in America , to leave America , things gotta be not so good with America , "" he said ."|""" for a guy like I , with five or six generation from the same town in America , to leave America , thing gotta be not so good with America , "" he say ."|not|so|good|26|27|28|{'lemma': 'good', 'ix': 28, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}|{'lemma': 'not', 'ix': 26, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'good'}|advmod|{'lemma': 'good', 'ix': 28, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'say'}|{'lemma': 'so', 'ix': 27, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'good'}|advmod|pcc_eng_29-109|26-27-28|36|pcc_eng_29_109.6530_x1750761_20-28-29|contig
pcc_eng_29_109.6529_x1750758_19:2-3-4|as_obvious|This is not as obvious.|not|as|obvious|not as obvious|This is not as obvious .|pcc_eng_29_109.6529_x1750758_19|pcc_eng_29_109.6529_x1750758_18|And Nixon?|pcc_eng_29_109.6529_x1750758_20|While those who defend Nixon point to his opening to China and end to the Vietnam War, his detractors will never get over his endless political intrigues.|This is not as obvious .|this be not as obvious .|not|as|obvious|2|3|4|{'lemma': 'obvious', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'not', 'ix': 2, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'obvious'}|advmod|{'lemma': 'obvious', 'ix': 4, 'xpos': 'JJ', 'deprel': 'root', 'head': '.'}|{'lemma': 'as', 'ix': 3, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'obvious'}|advmod|pcc_eng_29-109|2-3-4|6|pcc_eng_29_109.6529_x1750758_19-4-5|contig
pcc_eng_29_109.6520_x1750739_21:12-13-14|particularly_useful|I would argue that presenting an arrangement of winners and losers is not particularly useful when we talk about improving the conditions of our cities.|not|particularly|useful|not particularly useful|and losers is not particularly useful when we talk about|pcc_eng_29_109.6520_x1750739_21|pcc_eng_29_109.6520_x1750739_20|If someone has to win, then someone also has to lose.|pcc_eng_29_109.6520_x1750739_22|In previous posts, Andrew Wade and I have referred to the work of Ananya Roy and Jennifer Robinson, who have both played an instrumental role in contesting the usefulness of rankings.|I would argue that presenting an arrangement of winners and losers is not particularly useful when we talk about improving the conditions of our cities .|I would argue that present a arrangement of winner and loser be not particularly useful when we talk about improve the condition of we city .|not|particularly|useful|12|13|14|{'lemma': 'useful', 'ix': 14, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'argue'}|{'lemma': 'not', 'ix': 12, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'useful'}|advmod|{'lemma': 'useful', 'ix': 14, 'xpos': 'JJ', 'deprel': 'ccomp', 'head': 'argue'}|{'lemma': 'particularly', 'ix': 13, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'useful'}|advmod|pcc_eng_29-109|12-13-14|26|pcc_eng_29_109.6520_x1750739_21-14-15|contig
pcc_eng_29_109.6518_x1750735_147:8-9-10|athletically_inclined|I mentioned before that I am clumsy and not athletically inclined, so I was really nervous on the first dive.|not|athletically|inclined|not athletically inclined|am clumsy and not athletically inclined , so I was|pcc_eng_29_109.6518_x1750735_147|pcc_eng_29_109.6518_x1750735_146|I realized that I haven't gone swimming for a few years, so I was eager to make up for lost time.|pcc_eng_29_109.6518_x1750735_148|I felt a small surge of panic when I saw the rope descending into cloudy nothingness, but after our group started to descend, it wasn't bad at all.|I mentioned before that I am clumsy and not athletically inclined , so I was really nervous on the first dive .|I mention before that I be clumsy and not athletically inclined , so I be really nervous on the first dive .|not|athletically|inclined|8|9|10|{'lemma': 'inclined', 'ix': 10, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'clumsy'}|{'lemma': 'not', 'ix': 8, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'inclined'}|advmod|{'lemma': 'inclined', 'ix': 10, 'xpos': 'JJ', 'deprel': 'conj', 'head': 'clumsy'}|{'lemma': 'athletically', 'ix': 9, 'xpos': 'RB', 'deprel': 'advmod', 'head': 'inclined'}|advmod|pcc_eng_29-109|8-9-10|22|pcc_eng_29_109.6518_x1750735_147-10-11|contig
