adv,adj,sent_id,adv_index,sent_text
entirely,deserved,nyt_eng_19940729_0146_9,5,The accusation is n't entirely deserved .
quite,sure,nyt_eng_19940729_0073_8,16,"We 'll see you back in , uh , well , actually we 're not quite sure when , to be honest ."
as,likely,nyt_eng_19940729_0067_3,43,"The impact of Atlanta 's strong multicultural consumer base -- more than 700,000 African-Americans , 50,000-plus Asians , almost 60,000 Hispanics , and residents from the Middle East , India , Africa and the Caribbean -- means that immigrant influences are n't as likely to get lost in the melting pot ."
so,darn,nyt_eng_19940729_0058_9,32,But the picture 's comic propulsion comes from Perez who puts her particular sex - monkey spin on the gold digger cliche ; she 'd be offensive if she was n't so darn good at this kind of  -LBQ-  where 's mine  -RDQ-  tunnel-vision .
as,crucial,nyt_eng_19940729_0046_39,8,"Peace , while desirable , is not as crucial to him as his image is ."
quite,right,nyt_eng_19940729_0043_21,5,But this is not quite right .
as,safe,nyt_eng_19940729_0039_43,17,"A controversial death-penalty provision may cause difficulties , and the ban on assault weapons is not as safe as it once seemed ."
yet,prepared,nyt_eng_19940729_0022_64,4,"I 'm not yet prepared to put him ahead of Bob Lilly , but he had everything , and he was a great person .  -RDQ-"
as,harsh,nyt_eng_19940729_0017_31,5,"Other players are n't as harsh , saying the team has to prove it really is a contender before more fans will show up ."
as,disciplined,nyt_eng_19940729_0005_32,6,"-LBQ-  He probably is not as disciplined at looking the ball in ,  -RDQ-  Schottenheimer said of Penn."
really,enthusiastic,nyt_eng_19940728_0421_28,5,"Both sides were n't really enthusiastic , sort of subdued ."
really,replicable,nyt_eng_19940728_0416_15,8,"-LBQ-  The bricks and mortar were not really replicable ,  -RDQ-  Harmetz said ."
quite,right,nyt_eng_19940728_0410_21,5,But he is not quite right .
so,reluctant,nyt_eng_19940728_0397_26,5,"The GOP is not so reluctant and Bentsen , Altman and Hanson will all appear before the House and Senate Banking Committees next week ."
very,nice,nyt_eng_19940728_0377_59,5,-LBQ-  They were n't very nice to him at all after that .
any,different,nyt_eng_19940728_0372_31,16,We know that the Nixon group and the group that 's in today are n't any different .  -RDQ-
that,dramatic,nyt_eng_19940728_0351_18,15,"He argued  -COL-   -LBQ-  The dramatic changes they 're touting , they 're not that dramatic ."
very,good,nyt_eng_19940728_0329_1,14,Imagine a chief executive telling shareholders that the company 's products are n't very good .
terribly,significant,nyt_eng_19940728_0325_34,21,"-LBQ-  Most people are of the view that there will be an agreement , but that it will not be terribly significant .  -RDQ-"
very,good,nyt_eng_19940728_0321_1,14,Imagine a chief executive telling shareholders that the company 's products are n't very good .
quite,sure,nyt_eng_19940728_0318_35,5,He is still not quite sure .
so,troubling,nyt_eng_19940728_0295_15,6,"But they are not nearly so troubling as their loss of power to the commissioners , most of whom are appointed ."
really,welcome,nyt_eng_19940728_0271_13,18,"U.S. diplomats in London , responsible for the North , made it clear that she was not really welcome , that she was interfering ."
entirely,undeserved,nyt_eng_19940728_0246_28,17,And what these newly recorded performances suggest is that the obscurity of the rest is n't entirely undeserved .
as,committed,nyt_eng_19940728_0240_16,24,"But even as late as a few years ago , when he was the player representative for the Yankees , he was not as committed as he might have been ."
as,generous,nyt_eng_19940728_0217_14,19,Their rationale for supporting reform is that they are at a competitive disadvantage with companies that are n't as generous .
as,competitive,nyt_eng_19940728_0183_13,29,"What insights emerge from a single-sex program for high school students ? Sarah Eichorn , 15 , from Sayre , Pa. , said that it  -LBQ-  was n't as competitive as it would have been if there had been boys there  -RDQ-  -- and that that was good ."
so,good,nyt_eng_19940728_0160_39,34,"Later on , listening to one of Fred 's more untenable thoughts , she handles him in the most tactful way possible by answering ,  -LBQ-  I think maybe my English is not so good .  -RDQ-"
as,flat,nyt_eng_19940728_0143_47,7,"Even Delaware 's summit was n't as flat as Florida 's , Britton Hill , a roadside rest area  -COL-   -LBQ-  You walk along a path for maybe 30 , 40 yards , and that 's it .  -RDQ-"
as,soupy,nyt_eng_19940728_0141_41,21,"Though  -LBQ-  It Could Happen to You  -RDQ-  lacks Bergman 's usual flash of originality , it is not nearly as soupy as last year 's romantic hit  -LBQ-  Sleepless in Seattle ,  -RDQ-  and it is n't saddled with the tortured plot of  -LBQ-  I Love Trouble .  -RDQ-"
always,easy,nyt_eng_19940728_0131_21,8,"-LBQ-  The reason is it 's not always easy to figure out the lyrics from other people 's records ,  -RDQ-  he said ."
too,cramped,nyt_eng_19940728_0086_25,14,"The keyboard has a solid , clean feel , and it is not too cramped ."
completely,unsophisticated,nyt_eng_19940728_0031_29,5,But he was n't completely unsophisticated .
that,skillful,nyt_eng_19940728_0031_21,17,"For example , the folksy artist aspired to correct perspective , although she was n't all that skillful at it ."
completely,naive,nyt_eng_19940728_0031_20,4,She was n't completely naive about painting .  -RDQ-
quite,right,nyt_eng_19940728_0022_40,6,-LBQ-  It just was n't quite right for me .  -RDQ-
too,hot,nyt_eng_19940728_0010_28,4,"It is not too hot and humid to sit in an easy chair , drink beer and watch golf on TV , which benefits both the players and the fans ."
yet,clear,nyt_eng_19940728_0004_23,23,Legal experts said that the effect of the Court TV camera on the Cummings trial -- or any other -- is not yet clear .
so,lucky,nyt_eng_19940728_0003_23,4,Jacome was not so lucky in the third .
only,unique,nyt_eng_19940727_0375_19,6,Our kelp forests are not only unique but world-famous .  -RDQ-
physically,fit,nyt_eng_19940727_0308_6,9,But many generals argued that women were not physically fit for such units and would cause morale problems .
fully,robotic,nyt_eng_19940727_0305_22,5,The machine is not fully robotic .
as,bad,nyt_eng_19940727_0301_17,28,"But officials for the New York State Thruway Authority , which is in charge of Interstate 287 , said the conditions on the expressway itself were not as bad as they had expected because they had enough time after the 12 -COL- 30 a.m. accident to warn morning commuters ."
as,severe,nyt_eng_19940727_0300_19,23,"The Northridge Earthquake on Jan. 17 had a  -LBQ-  negative  -RDQ-  impact on businesses in Los Angeles County but it was not as severe as expected , Isom said ."
yet,final,nyt_eng_19940727_0294_4,6,"Though the loan is not yet final , its motivation was evident in the terms under which it would be made ."
only,unsatisfied,nyt_eng_19940727_0284_3,21,"Alfred Zeien , the chief executive , McCartney wrote  -COL-   -LBQ-  As a friend of animals , I am not only unsatisfied but outraged ."
as,draconian,nyt_eng_19940727_0279_22,26,"Miller , too , seemed to play down the problems with the hunting provision , which he opposed , saying ,  -LBQ-  It 's not as Draconian as people would make it out to be .  -RDQ-"
as,explicit,nyt_eng_19940727_0265_29,16,"Teva also said  -LBQ-  their data was good on Monday , but they were not as explicit  -RDQ-  as Biogen , Ms. Lerner of Lehman Brothers said ."
always,clear,nyt_eng_19940727_0254_19,7,Bennett himself says it is not always clear to his audience whether he is talking for Families USA or for the White House .
as,attractive,nyt_eng_19940727_0251_33,14,"Through those eyes , the bound feet and breast implants are n't necessarily as attractive as they are through men 's eyes ."
exactly,svelte,nyt_eng_19940727_0240_8,20,"The fact that the guy doing the pitch is  -LBQ-  Seinfeld  -RDQ-  star Jason Alexander , who 's not exactly svelte , ought to tell you something ."
quite,sure,nyt_eng_19940727_0225_24,23,"-LBQ-  Everything seems to have crossed through the mediums a lot more ,  -RDQ-  he said ,  -LBQ-  and I 'm not quite sure what it is we 're doing , but it 's not just making records anymore ."
as,good,nyt_eng_19940727_0204_22,13,"Unfortunately , the comparison would be  -COL-   -LBQ-  This book is not as good as almost anything by Trollope , Thackeray or George Eliot .  -RDQ-"
very,nice,nyt_eng_19940727_0189_47,7,"-LBQ-  Originally , it was n't very nice ,  -RDQ-  Mrs. Moorstein said ."
so,hard,nyt_eng_19940727_0173_33,4,"That 's not so hard , he said ,  -LBQ-  but nobody with a two-cycle engine is going to come close to meeting the '99 law .  -RDQ-"
so,enamored,nyt_eng_19940727_0166_22,6,"But this operator is not so enamored when two days later Livingstone cashes in for $ 1,000 ."
so,easy,nyt_eng_19940727_0162_36,6,With women it was n't so easy to get pregnant .  -RDQ-
so,funny,nyt_eng_19940727_0140_15,6,In 1969 it was n't so funny .
morally,helpless,nyt_eng_19940727_0114_19,5,"We may not be morally helpless , but we 're often morally lazy , lax rather than really relaxed ."
that,different,nyt_eng_19940727_0083_21,15,"The idea of invoking '60s nostalgia to sell to Generation Xers is n't all that different from invoking '50s nostalgia to sell to baby boomers , according to Dr. Ross Goldstein of Generation Insights , a San Francisco marketing firm ."
very,pleasant,nyt_eng_19940727_0063_3,14,"-LBQ-  It does n't impact our everyday work , but it is not very pleasant .  -RDQ-"
immediately,available,nyt_eng_19940726_0394_23,12,"The lab 's official safety record prior to 1990 was not immediately available , Cal-OSHA officials said ."
so,tough,nyt_eng_19940726_0380_24,5,"Rookie ball was n't so tough , but there are players here ."
as,bad,nyt_eng_19940726_0376_3,48,"After the release last week of a state Education Department report that depicted him as presiding over a mismanaged , failing school district , Campbell met the press with a lofty reform package , a cool denial of any wrongdoing and the suggestion that things were not as bad as the state , and many parents , say ."
particularly,happy,nyt_eng_19940726_0344_22,5,"-LBQ-  We 're not particularly happy with our volume ,  -RDQ-  Millstone President Phil Johnson said ."
as,fortunate,nyt_eng_19940726_0338_34,16,"The U.S. men 's pair of California 's Carlos Briceno and Jeff Williams were n't as fortunate , losing their gold medal match to Norway 's Jan Kvalheim and Bjorn Maaseide , 12-8 , 12-6 ."
very,deep,nyt_eng_19940726_0338_29,7,"-LBQ-  The sand here is n't very deep , ... so the surface is faster than we 're used to ,  -RDQ-  Kirby said after she and Masakayan dominated the Brazilians ."
as,good,nyt_eng_19940726_0310_17,11,"Privately , some traders have grumbled that Donaldson was not as good as Phelan had been at selling the exchange ."
so,unhappy,nyt_eng_19940726_0302_36,5,"-LBQ-  It 's not so unhappy ,  -RDQ-  he said ."
even,sure,nyt_eng_19940726_0268_21,4,I 'm not even sure Adam ate the cake .  -RDQ-
that,critical,nyt_eng_19940726_0256_7,11,"-LBQ-  The numbers were good , but they are not that critical right now ,  -RDQ-  said Herb Buchbinder , analyst in the Kansas City office of Kidder , Peabody & Co. . Inc."
as,easy,nyt_eng_19940726_0249_49,11,"Her background in rock music , however , was not as easy for some to digest ."
so,sure,nyt_eng_19940726_0232_52,5,-LBQ-  I 'm not so sure everybody else does either .  -RDQ-
that,stupid,nyt_eng_19940726_0232_36,5,"-LBQ-  I 'm not that stupid ,  -RDQ-  Halmi fired back ."
so,difficult,nyt_eng_19940726_0214_20,23,The audience seemed to be filled with wannabe MCs ; it was as if the Beasties were saying  -COL-  It 's not so difficult ; you could just as easily be up here having fun .
really,sure,nyt_eng_19940726_0191_16,4,"Anderson is n't really sure why that is , but he does know that demand is so great he has ordered more than 100,000 copies of  -LBQ-  Forrest Gump ,  -RDQ-  after an initial order of just 15,000 ."
always,cost-effective,nyt_eng_19940726_0184_10,22,"Mock , former executive director of the Dallas Nature Center , qualified that claim , however  -COL-  Existing technology is n't always cost-effective , and even if it is , you might not see the payback for 10 or 20 years ."
so,fortunate,nyt_eng_19940726_0145_38,17,"Some , like Dmitri , one of the two Greek bears recovered , wo n't be so fortunate ."
absolutely,definitive,nyt_eng_19940726_0043_16,7,"If Bergan 's book is n't absolutely definitive , it will do until a better one comes along ."
so,smart,nyt_eng_19940726_0037_31,17,"-LBQ-  They 're -LRB- dolphins -RRB- like dogs , some are smart , some are not so smart ,  -RDQ-  she said ."
even,sure,nyt_eng_19940726_0018_10,4,Grieve is n't even sure anyone will be playing on it then .
visually,arresting,nyt_eng_19940725_0441_11,6,"-LBQ-  Twins are not only visually arresting , but they are also useful to advertisers stressing the greater-value idea ,  -RDQ-  Mrs. Unell said ."
just,national,nyt_eng_19940725_0437_26,11,"-LBQ-  We have understood that the wireless market is not just national , it 's global and we want to be a player in it ,  -RDQ-  Ginn said ."
as,bad,nyt_eng_19940725_0436_14,7,"Turned out the situation was n't as bad as the way I first got the news -- a voice-mail message in my Chicago hotel room from a Washington , D.C. , radio station , wanting information on the Kingdome roof  -LBQ-  collapse .  -RDQ-"
too,late,nyt_eng_19940725_0414_29,20,But is there anyone smart and calm enough to remind the Clintons and their claque that it is not too late to tell the whole truth ?
so,much,nyt_eng_19940725_0388_11,7,"The belief at NBC is n't so much that  -LBQ-  Frasier ,  -RDQ-  the No. 7-rated show in prime time after its first season , will beat  -LBQ-  Roseanne ,  -RDQ-  No. 4 after six years , but that it will hold its own ."
permanently,shelved,nyt_eng_19940725_0375_9,26,"Littlefield left the door open for  -LBQ-  Frogmen  -RDQ-  to one day air on NBC , however -- noting that the project has not been permanently shelved ."
much,different,nyt_eng_19940725_0358_13,39,"Karen Vrouegh , a psychologist at the Chicago Child Care Society , who has been conducting a study of 35 adopted children for 20 years , said  -COL-   -LBQ-  We find that the portion of problems are not much different from national norms ."
that,important,nyt_eng_19940725_0302_30,8,"No , universal coverage is n't all that important now so never mind that old veto threat ."
so,simple,nyt_eng_19940725_0298_5,7,"Of course , it was not so simple ."
only,athletic,nyt_eng_19940725_0283_11,4,"It 's not only athletic and active but it takes you outdoors , where you can choose to be social and walk with a friend , or be alone and just spend time getting into your head .  -RDQ-"
directly,visible,nyt_eng_19940725_0266_14,6,"Although such waves are not directly visible on Jupiter , images recorded in certain wavelengths of infrared radiation may reveal the slight temperature gradients such waves might have produced in the Jovian fluids through which they passed ."
quite,massive,nyt_eng_19940725_0266_7,11,"Astrophysicists regard Jupiter as a failed star that was not quite massive enough to crush and heat itself to the temperature that would allow hydrogen fusion , the process that fuels the Sun ."
yet,certain,nyt_eng_19940725_0265_17,20,"Although phosphine has been detected in the upper clouds of another giant planet , Saturn , astronomers are not yet certain whether phosphine is present in Jupiter 's atmosphere ."
normally,detectable,nyt_eng_19940725_0265_10,31,"The detection of sulfur-based compounds also suggests that the comet fragments may have penetrated the Jovian atmosphere to a depth of at least 20 miles , because sulfur is not normally detectable in the upper atmosphere and must therefore have been dredged up from deeper layers ."
very,different,nyt_eng_19940725_0262_14,15,"Through their stories , Ohayon is sending a message  -COL-  These women are not very different from me or you ."
very,pleasant,nyt_eng_19940725_0218_3,14,"-LBQ-  It does n't impact our everyday work , but it is not very pleasant .  -RDQ-"
too,complicated,nyt_eng_19940725_0215_37,19,"Ms. Power , who also runs Wheelchair Journeys in Redmond , Wash. , said the work was not too complicated but did take more time than booking nondisabled clients ."
so,bad,nyt_eng_19940725_0215_22,38,"Mrs. Hoffman believes the field is narrowing because younger people who organize tours for the disabled initially find it difficult and  -LBQ-  are afraid ,  -RDQ-  and then quit  -LBQ-  before they find out it is n't so bad as it appears .  -RDQ-"
as,simple,nyt_eng_19940725_0124_22,4,It 's not as simple as restoring the presidency of the exiled Jean Bertrand Aristide .
as,acceptable,nyt_eng_19940725_0074_28,5,-LBQ-  It 's not as acceptable to be the class clown .
entirely,satisfied,nyt_eng_19940725_0010_11,24,"The Rangers and and Blues had agreed on a trade Friday in New York to settle the dispute , but Bettman was not entirely satisfied and called the parties to the league office for an eight-hour meeting on Sunday that replaced the hearing that was supposed to be held on Monday ."
quite,ready,nyt_eng_19940725_0006_25,12,"But to hear him say it now , Abbott is n't quite ready to give up on New York - nor it on him ."
that,happy,nyt_eng_19940725_0006_23,36,"Abbott , who was traded by the Angels to New York two seasons ago for J.T. Snow , Russ Springer and Jerry Neilsen , has told reporters , at times , that he is not that happy in New York ."
as,explosive,nyt_eng_19940724_0183_19,18,Torrence said a touchy hamstring affected her start in the 100 --  -LBQ-  I could n't be as explosive out of the blocks as I would like  -RDQ-  -- but she had no complaints about the ending .
very,useful,nyt_eng_19940724_0179_32,47,"-LBQ-  You try to make sure you are not carrying too much stuff , and you arrange it on your left and your right so you 're in the middle , because unless you get a direct hit from the air conditioning , it 's not very useful .  -RDQ-"
so,bright,nyt_eng_19940724_0166_24,10,-LBQ-  Back then they made them not to be so bright and they last longer .  -RDQ-
readily,apparent,nyt_eng_19940724_0158_34,18,"One is trying to use DNA to determine the sex of immature fish , which is not readily apparent ; another is using strontium and calcium formations in the ear bones of fish to determine how much time they spend in salt and fresh water , and the third is experimenting with Caesarean sections to extract roe for caviar without killing the fish ."
yet,available,nyt_eng_19940724_0158_32,23,"This year , the catch was about the same as last year , she said , although the final figures are not yet available ."
very,nice,nyt_eng_19940724_0137_14,17,But the way they let him go and some of the comments they made were not very nice .
so,much,nyt_eng_19940724_0120_39,5,"-LBQ-  He 's not so much got a kicker 's mentality as an athlete 's mentality ,  -RDQ-  Seely said ."
wholly,certain,nyt_eng_19940724_0112_37,19,"But on closer inspection , some in the hand-picked , overwhelmingly Democratic throngs at both cities were not wholly certain where the White House is taking the insurance issue -- or , in a few cases , whether they want to go along ."
so,sure,nyt_eng_19940724_0112_3,13,It is the health-care plan she is selling that he is not so sure about .
so,clear,nyt_eng_19940724_0094_27,10,-LBQ-  And the justifications for this approach are not so clear cut .  -RDQ-
as,successful,nyt_eng_19940724_0076_33,13,And various CBS executives dropped hints that Fox had not been nearly as successful in selling its NFL games to advertisers as CBS was in years past .
as,regulated,nyt_eng_19940724_0070_22,13,"But critics point out that the real estate market is not nearly as regulated as are utilities and is not providing an essential service that is always in demand , like electric power ."
all,bad,nyt_eng_19940724_0069_23,11,"And he demonstrated this by acknowledging that Fujimori was not all bad -- that he tamed wild inflation , began modernizing the economy , and struck important blows against the Shining Path terrorist movement ."
so,detestable,nyt_eng_19940724_0050_4,15,The Yankee advisory might have a shot at being funny if it were n't so detestable .
necessarily,bad,nyt_eng_19940724_0048_28,16,"Yet she embraces popular culture , arguing that work that is successful commercially is not necessarily bad ."
overly,concerned,nyt_eng_19940723_0259_11,5,"-LBQ-  I was n't overly concerned about stealing bases ,  -RDQ-  Coleman said ."
as,active,nyt_eng_19940723_0251_3,22,"-LBQ-  I 'd always been told by people , ` Asthmatics ca n't do things as well ; they 're not as active as other people , '  -RDQ-  said Van Dyken , who as a child could n't climb stairs without running short of breath ."
readily,available,nyt_eng_19940723_0250_57,22,"-LBQ-  There is a benefit to working with a financial institution because the normal availability of subdivision financing has not been readily available ,  -RDQ-  O'Donnell said ."
that,concerned,nyt_eng_19940723_0240_17,20,He admits to not being much of a newspaper reader beyond his local daily and he 's not all that concerned about what journalists write about him .
so,sure,nyt_eng_19940723_0210_32,6,But now residents are not so sure .
too,worried,nyt_eng_19940723_0205_36,44,"-LBQ-  They stop us on the streets too , asking for our papers ,  -RDQ-  said a foreign-born nun who has lived here for eight years ,  -LBQ-  but since mine are renewed until the end of the year , I 'm not too worried ."
exclusively,spiritual,nyt_eng_19940723_0205_23,17,"-LBQ-  The only way to meet is to avoid talking about any subject that is not exclusively spiritual , and in any case , you constantly have to worry that there are traitors the government has placed inside .  -RDQ-"
as,simple,nyt_eng_19940723_0198_3,17,"But as is often the case in campaigns , the full truth about Pataki is not as simple as Cuomo 's characterization of him ."
as,acute,nyt_eng_19940723_0194_10,37,"If we 're ever to deal with them on a scale remotely equal to their size , we must coalesce with people of other complexions who feel the same pain , even if it is n't as acute .  -RDQ-"
very,happy,nyt_eng_19940723_0173_29,24,"In an interview published Saturday in the Russian newspaper Argumenty I Fakty , President Ulmanis said  -COL-   -LBQ-  Unfortunately our history was not very happy ."
always,apparent,nyt_eng_19940723_0113_2,18,"Today , so dominant are MS-DOS and its associated program , Windows , that it 's not always apparent that there are still several viable alternatives ."
as,clean,nyt_eng_19940723_0069_24,11,"And in hockey , the Rangers have not always been as clean and shiny as the Stanley Cup it took them 54 years to win again ."
as,unselfish,nyt_eng_19940723_0044_11,44,"Woodrow Wilson 's secretary of state , William Jennings Bryan , once told the Haitian ambassador in Washington that  -LBQ-  the intelligent Haitians should feel gratified that it was the United States , rather than some other power whose motives might not be as unselfish as ours ,  -RDQ-  that had chosen to occupy his country ."
completely,castrated,nyt_eng_19940723_0036_21,12,"As a law professor , I felt I had n't been completely castrated ."
even,aware,nyt_eng_19940723_0026_23,4,I was n't even aware he was doing it .
really,committed,nyt_eng_19940723_0003_14,12,"-LBQ-  McDonald 's gets out of a business it 's not really committed to , Discovery Zone gets some good locations and gets rid of its main competitor , and Blockbuster gets to increase its entertainment complex to go along with its video and music stores ,  -RDQ-  Berko said ."
overly,surprised,nyt_eng_19940722_0410_49,16,"-LBQ-  When they sent me down ,  -RDQ-  Burnitz said ,  -LBQ-  I was n't overly surprised ."
as,bad,nyt_eng_19940722_0376_31,22,"When Darryl came in , he let us all kind of re-evaluate things , to see that things were n't nearly as bad as we think it is ."
immediately,available,nyt_eng_19940722_0311_5,8,Independent confirmation of the accounts was not immediately available .
too,keen,nyt_eng_19940722_0304_1,6,"Mutual fund investors are n't too keen on taking risks , which may account for some of their disgust when funds that were promoted as  -LBQ-  low risk  -RDQ-  blew up on them earlier this year ."
really,unix,nyt_eng_19940722_0284_5,9,"Unix true-believers often say that Nextstep is not really Unix , because it is actually based on Mach , a Unix-derivative developed at Carnegie Mellon University ."
always,apparent,nyt_eng_19940722_0283_2,18,"Today , so dominant are MS-DOS and its associated program , Windows , that it 's not always apparent that there are still several viable alternatives ."
that,different,nyt_eng_19940722_0282_19,11,The overall tone of Ms. Yellen 's comments was not that different from Greenspan 's .
as,effective,nyt_eng_19940722_0268_20,20,"Once they started stocking stores in Seattle and Houston and Dallas , however , the old ways were n't as effective ."
so,sure,nyt_eng_19940722_0241_60,5,-LBQ-  AndI 'm not so sure everybody else does either .  -RDQ-
that,stupid,nyt_eng_19940722_0241_51,5,-LBQ-  I 'm not that stupid .  -RDQ-
already,deaf,nyt_eng_19940722_0210_25,12,"This could mean a grim future for people who are not already deaf , because teen-agers , who invariably get older , are bound to be in charge eventually ."
necessarily,obscene,nyt_eng_19940722_0199_32,20,"Then , in 1966 , the Supreme Court ruled that a picture showing a frontal male nude was not necessarily obscene ."
completely,candid,nyt_eng_19940722_0197_13,13,One example  -COL-  Deputy Treasury Secretary Roger Altman might not have been completely candid with Congress about his involvement in Whitewater-related briefings for White House officials last year .
so,squeamish,nyt_eng_19940722_0192_49,22,"That 's to avoid hurting children who only have one parent , or offending their parents , but schools are not so squeamish about other topics ."
commercially,available,nyt_eng_19940722_0190_56,10,"Its members share seeds of plants that are not commercially available , and are dedicated to increasing their numbers ."
surreptitiously,scanned,nyt_eng_19940722_0189_23,21,A stock agent who sends transparencies for a client to view has no guarantee that an image will not be surreptitiously scanned .
only,unfamiliar,nyt_eng_19940722_0137_18,5,"-- Mexicans are not only unfamiliar with polling techniques but also often do not recognize major international polling companies , making it harder to gain their trust ."
exactly,surprising,nyt_eng_19940722_0124_1,5,-- It 's not exactly surprising when a member of Congress attacks members of the other political party or praises members of his or her own party .
that,easy,nyt_eng_19940722_0083_17,9,"-LBQ-  With most women , it 's not that easy .  -RDQ-"
so,open,nyt_eng_19940722_0082_26,6,We ca n't just be so open or it might be taken the wrong way .
so,splashy,nyt_eng_19940722_0072_20,27,"This didacticism would be more tedious if it were not presented so avidly , and if the other half of  -LBQ-  Little Buddha  -LBQ-  were not so splashy ."
as,quick,nyt_eng_19940722_0065_51,4,"They are not as quick as smaller lobsters , but they are strong ."
readily,apparent,nyt_eng_19940722_0064_22,28,"But the Fastbreak organization , like other summer-league programs , gives coaches an opportunity to see aspects of a player 's game that might not be as readily apparent on their high school teams ."
exactly,slouches,nyt_eng_19940722_0064_14,20,"The quartet has been dubbed  -LBQ-  The Fab Four ,  -RDQ-  but the others on the squad are n't exactly slouches ."
that,independent,nyt_eng_19940722_0061_32,4,They 're not that independent .
really,sure,nyt_eng_19940722_0005_15,5,-LBQ-  I 'm not really sure that 's the way to hire somebody .
nearly,dead,nyt_eng_19940721_0434_31,5,We 're not even nearly dead .  -RDQ-
