hit_id,few,never,no,none,not,nothing,SUM
pcc_eng_27_070.7120_x1127229_18:3-4-5,0,0,0,0,1,0,1
pcc_eng_27_070.8552_x1129516_4:3-4-5,0,0,0,0,1,0,1
pcc_eng_27_070.8645_x1129662_4:25-26-27,0,0,0,0,1,0,1
pcc_eng_27_070.8877_x1130027_06:1-2-3,0,0,0,0,1,0,1
pcc_eng_27_070.9565_x1131118_16:07-08-14-15,0,0,0,0,1,0,1
pcc_eng_27_070.9917_x1131694_05:3-4-5,0,0,0,0,1,0,1
pcc_eng_val_1.0271_x00447_056:36-37-38,0,0,0,0,1,0,1
pcc_eng_val_1.0278_x00461_18:7-8-9,0,0,0,0,1,0,1
pcc_eng_val_1.1187_x01959_50:31-32-33,0,0,0,0,1,0,1
pcc_eng_val_1.1876_x03046_43:5-6-7,0,0,0,0,1,0,1
pcc_eng_val_1.2346_x03794_08:11-12-13,0,0,0,0,1,0,1
pcc_eng_val_1.2998_x04887_04:10-11-12,0,0,0,0,1,0,1
pcc_eng_val_1.3131_x05104_36:31-32-38-39,0,0,0,0,1,0,1
pcc_eng_val_1.3131_x05104_36:37-38-39,0,0,0,0,1,0,1
pcc_eng_val_1.4159_x06768_05:1-2-3,0,0,0,0,1,0,1
pcc_eng_val_1.5017_x08202_269:09-10-11,0,0,0,0,1,0,1
pcc_eng_val_1.5250_x08580_53:4-5-6,0,0,0,0,1,0,1
pcc_eng_val_1.7010_x11358_16:5-6-7,0,0,0,0,1,0,1
pcc_eng_val_1.7185_x11652_047:12-13-14,0,0,0,0,1,0,1
pcc_eng_val_1.7517_x12198_019:15-16-17,0,0,0,0,1,0,1
pcc_eng_val_1.7517_x12198_174:6-7-8,0,0,0,0,1,0,1
pcc_eng_val_1.7658_x12434_248:7-8-9,0,0,0,0,1,0,1
pcc_eng_val_1.7725_x12552_4:3-4-5,0,0,0,0,1,0,1
pcc_eng_val_1.8343_x13568_102:13-14-15,0,0,0,0,1,0,1
pcc_eng_val_1.8886_x14420_11:24-25-26,0,0,0,0,1,0,1
pcc_eng_val_1.9036_x14657_63:1-2-3,0,0,0,0,1,0,1
pcc_eng_val_1.9647_x15655_04:4-5-6,0,0,0,0,1,0,1
pcc_eng_val_2.00090_x16356_132:3-4-5,0,0,0,0,1,0,1
pcc_eng_val_2.00741_x17372_31:20-21-22,0,0,0,0,1,0,1
pcc_eng_val_2.01649_x18884_04:7-8-9,0,0,0,0,1,0,1
pcc_eng_val_2.03295_x21553_04:7-8-9,0,0,0,0,1,0,1
pcc_eng_val_2.05602_x25284_64:6-7-8,0,0,0,0,1,0,1
pcc_eng_val_2.05937_x25809_09:09-11-13-14,0,0,1,0,0,0,1
pcc_eng_val_2.06188_x26238_09:19-20-21,0,0,0,0,1,0,1
pcc_eng_val_2.07000_x27582_096:3-4-5,0,0,0,0,1,0,1
pcc_eng_val_2.09071_x30942_02:4-5-6,0,0,0,0,1,0,1
pcc_eng_val_2.09397_x31496_46:1-2-3,0,0,0,0,1,0,1
pcc_eng_val_2.10513_x33306_177:1-2-3,0,0,0,0,1,0,1
pcc_eng_val_2.10767_x33718_39:10-11-12,0,0,0,0,1,0,1
pcc_eng_val_2.10827_x33807_12:3-4-5,0,0,0,0,1,0,1
pcc_eng_val_2.10994_x34060_44:5-6-7,0,0,0,0,1,0,1
pcc_eng_val_2.11125_x34256_18:6-7-8,0,0,0,0,1,0,1
pcc_eng_val_2.11125_x34256_28:6-7-8,0,0,0,0,1,0,1
pcc_eng_val_3.00087_x34668_27:3-4-5,0,0,0,0,1,0,1
pcc_eng_val_3.03005_x39438_12:4-5-6,0,0,0,0,1,0,1
pcc_eng_val_3.03493_x40234_100:4-5-6,0,0,0,0,1,0,1
pcc_eng_val_3.04934_x42578_5:12-13-14,0,0,0,0,1,0,1
pcc_eng_val_3.05704_x43769_07:23-24-25,0,0,0,0,1,0,1
pcc_eng_val_3.06330_x44770_50:5-6-7,0,0,0,0,1,0,1
pcc_eng_val_3.06425_x44932_19:10-11-12,0,0,0,0,1,0,1
pcc_eng_val_3.07526_x46713_07:16-17-18,0,0,0,0,1,0,1
pcc_eng_val_3.07737_x47048_08:5-6-7,0,0,0,0,1,0,1
pcc_eng_val_3.08137_x47680_126:6-7-8,0,0,0,0,1,0,1
pcc_eng_val_3.10294_x51165_07:15-16-18-19,0,0,1,0,0,0,1
pcc_eng_val_3.10936_x52202_02:20-21-22,0,0,0,0,1,0,1
SUM,1,1,3,1,102,1,109
