line_in_source,hit_id,colloc,adv,adj,sent_text,sent_id,adv_index,corpus_segment,date,year,context,context_word,context_type,in_basic,polarity,context_overlap
365068,nyt_eng_19970930_0331_5:9,absolutely_necessary,absolutely,necessary,"-LBQ-  The presence of the international forces is absolutely necessary ,  -RDQ-  to separate combatants in the Balkans , Hungarian Foreign Minister Laslo Kovacs said .",nyt_eng_19970930_0331_5,9,nyt_eng_19970930,1997-09-30,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
102856,nyt_eng_19950805_0212_45:5,absolutely_right,absolutely,right,"-LBQ-  His policy is absolutely right ,  -RDQ-  said Ed Gillespie , spokesman for Majority Leader Dick Armey of Texas .",nyt_eng_19950805_0212_45,5,nyt_eng_19950805,1995-08-05,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
10736,nyt_eng_19940818_0268_19:8,absolutely_smitten,absolutely,smitten,"Normally an undemonstrative type , Chu is absolutely smitten with a little girl -- the child of one of his daughter 's friends -- and in one of the film 's funniest sequences sneaks her elaborate gourmet box lunches that make her the hit of her school .",nyt_eng_19940818_0268_19,8,nyt_eng_19940818,1994-08-18,1994,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
386854,nyt_eng_19971128_0492_19:33,absolutely_thrilling,absolutely,thrilling,"Foster said he knew that  -LBQ-  to many people witnessing a hunt is to feel part of English history , and the sight of a full field of horses and hounds is absolutely thrilling .  -RDQ-",nyt_eng_19971128_0492_19,33,nyt_eng_19971128,1997-11-28,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
291716,nyt_eng_19970228_0399_33:3,absolutely_true,absolutely,true,It 's absolutely true .,nyt_eng_19970228_0399_33,3,nyt_eng_19970228,1997-02-28,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
440965,nyt_eng_19980521_0406_15:15,absolutely_true,absolutely,true,"-LBQ-  The cliche about invention being 1 percent inspiration and 99 percent perspiration is absolutely true ,  -RDQ-  he said .",nyt_eng_19980521_0406_15,15,nyt_eng_19980521,1998-05-21,1998,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
91140,nyt_eng_19950630_0518_6:44,absolutely_unaware,absolutely,unaware,"Friday afternoon , in a news conference with Vice President Al Gore after three days of meetings , the prime minister called Budyonnovsk  -LBQ-  our grief  -RDQ-  and  -LBQ-  our shame ,  -RDQ-  because people who  -LBQ-  were absolutely innocent and who were absolutely unaware  -RDQ-  were not protected by the state .",nyt_eng_19950630_0518_6,44,nyt_eng_19950630,1995-06-30,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
24310,nyt_eng_19941019_0033_13:6,absolutely_unheard,absolutely,unheard,"-LBQ-  Things that would be absolutely unheard of in our state legislatures today are still permitted in Washington ,  -RDQ-  said Metcalf .",nyt_eng_19941019_0033_13,6,nyt_eng_19941019,1994-10-19,1994,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
92632,nyt_eng_19950706_0222_42:4,absolutely_valid,absolutely,valid,"-LBQ-  It 's absolutely valid that there are n't enough Hispanics on the networks ,  -RDQ-  Rodriguez said .",nyt_eng_19950706_0222_42,4,nyt_eng_19950706,1995-07-06,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
16249,nyt_eng_19940913_0236_9:13,absolutely_vital,absolutely,vital,"-LBQ-  In an era of cutbacks and tight budgets , it 's absolutely vital that you selectively nurture the most promising technologies ,  -RDQ-  Yates said .",nyt_eng_19940913_0236_9,13,nyt_eng_19940913,1994-09-13,1994,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
263550,nyt_eng_19961205_0600_46:3,absolutely_wonderful,absolutely,wonderful,She is absolutely wonderful .,nyt_eng_19961205_0600_46,3,nyt_eng_19961205,1996-12-05,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
327279,nyt_eng_19970612_0051_9:4,absolutely_wrong,absolutely,wrong,-LBQ-  It 's absolutely wrong to sacrifice men 's programs for the sake of gender equity .,nyt_eng_19970612_0051_9,4,nyt_eng_19970612,1997-06-12,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
197545,nyt_eng_19960511_0076_20:32,absolutely_wrong,absolutely,wrong,"And when told that several specialists in legal ethics had said his failure to excuse himself amounted to an appearance of partiality , Murphy said ,  -LBQ-  I think they are absolutely wrong .  -RDQ-",nyt_eng_19960511_0076_20,32,nyt_eng_19960511,1996-05-11,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
233101,nyt_eng_19960907_0163_18:24,absurdly_long,absurdly,long,"Now and then , experts on government complain that New York state 's Constitution , its fourth since the Revolutionary War , is absurdly long and detailed _ the width of ski trails on Whiteface Mountain is specified , for instance _ and should be streamlined .",nyt_eng_19960907_0163_18,24,nyt_eng_19960907,1996-09-07,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
25795,nyt_eng_19941025_0234_34:18,absurdly_lucky,absurdly,lucky,"-LBQ-  I also do n't know how to write about AIDS particularly , because I 've been absurdly lucky in that regard .",nyt_eng_19941025_0234_34,18,nyt_eng_19941025,1994-10-25,1994,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
306030,nyt_eng_19970411_0538_1:6,absurdly_melodramatic,absurdly,melodramatic,"Her life story is almost absurdly melodramatic , spanning the 20th century .",nyt_eng_19970411_0538_1,6,nyt_eng_19970411,1997-04-11,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
301447,nyt_eng_19970328_0390_14:11,academically_ineligible,academically,ineligible,"Simon , the Wildcats ' only returning starter , was academically ineligible , but swingman Michael Dickerson and freshman guard Mike Bibby , who was impressive in his debut with 22 points against Carolina freshman guard Ed Cota , stepped up to fill the void .",nyt_eng_19970328_0390_14,11,nyt_eng_19970328,1997-03-28,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
177979,nyt_eng_19960318_0030_26:39,academically_ineligible,academically,ineligible,"The Wildcats have returned to tourney stardom despite the graduation loss of guard Damon Stoudamire , the likely NBA rookie of the year with Toronto , and the absence of 6-11 center Joseph Blair , who has been academically ineligible since mid-January .",nyt_eng_19960318_0030_26,39,nyt_eng_19960318,1996-03-18,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
45054,nyt_eng_19980311_0603_28:38,academically_ready,academically,ready,"That could make it possible for him to achieve two goals  -COL-  giving the Police Department control over school security , and ending the practice of promoting children to the next grade even if they are not academically ready .",nyt_eng_19980311_0603_28,38,nyt_eng_19980311,1998-03-11,1998,not_VP-adv,not,VP-adv,True,negative,False
221415,nyt_eng_19960801_0312_12:17,academically_rigorous,academically,rigorous,Save for October your parental concerns about whether your child 's middle school will be sufficiently academically rigorous .,nyt_eng_19960801_0312_12,17,nyt_eng_19960801,1996-08-01,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
371913,nyt_eng_19971019_0161_32:17,actually_able,actually,able,-LBQ-  I feel like what happens if I swim really fast ? What if I 'm actually able to go a 4 -COL- 33 .,nyt_eng_19971019_0161_32,17,nyt_eng_19971019,1997-10-19,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
265335,nyt_eng_19961211_0377_22:22,actually_certain,actually,certain,"-LBQ-  People were worried about getting beaten up -LRB- betting prices would fall -RRB- on the Iraqi news until it was actually certain the oil was going to flow ,  -RDQ-  said John Shapiro , managing director of energy commodities at Morgan Stanley Inc. in New York .",nyt_eng_19961211_0377_22,22,nyt_eng_19961211,1996-12-11,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
176140,nyt_eng_19960312_0485_32:5,actually_free,actually,free,And some films are actually free .,nyt_eng_19960312_0485_32,5,nyt_eng_19960312,1996-03-12,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
133012,nyt_eng_19951106_0228_2:23,actually_good,actually,good,"_ Billy Graham 's essay that  -LBQ-  Satan is real ... -LRB- his -RRB- greatest lie is his contention that evil is actually good _ that sin will not harm us , and his way is the path to happiness for us .  -RDQ-",nyt_eng_19951106_0228_2,23,nyt_eng_19951106,1995-11-06,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
81296,nyt_eng_19950601_0549_10:11,actually_half-brothers,actually,half-brothers,"Gustave , the elder of the two -LRB- they were actually half-brothers -RRB- , arrived in New York City in 1848 .",nyt_eng_19950601_0549_10,11,nyt_eng_19950601,1995-06-01,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
300423,nyt_eng_19970326_0127_22:33,actually_happy,actually,happy,"-LBQ-  When you 're aging , it 's very interesting to find that the world is going from bad to worse and is full of stupid people , so that you are actually happy to leave it .",nyt_eng_19970326_0127_22,33,nyt_eng_19970326,1997-03-26,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
190466,nyt_eng_19960422_0518_12:5,actually_impossible,actually,impossible,"Why , writing is actually impossible when someone watches ; that 's why we hide from editors .",nyt_eng_19960422_0518_12,5,nyt_eng_19960422,1996-04-22,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
91787,nyt_eng_19950703_0375_10:3,actually_large,actually,large,"Some are actually large enough to swallow salamanders , lizards , tree frogs , mice and even an occasional rat .",nyt_eng_19950703_0375_10,3,nyt_eng_19950703,1995-07-03,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
215310,nyt_eng_19960713_0323_23:11,actually_much,actually,much,Instead of stressing the threat of Russia _ which is actually much of the appeal of NATO for the Polish people _ the new President emphasized that Polish membership could help unite Europe .,nyt_eng_19960713_0323_23,11,nyt_eng_19960713,1996-07-13,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
147562,nyt_eng_19951219_0304_19:28,actually_possible,actually,possible,"Their worlds intersected in a shared disdain for the way both business and government managed their affairs , and in a common certitude that rational planning was actually possible .",nyt_eng_19951219_0304_19,28,nyt_eng_19951219,1995-12-19,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
62354,nyt_eng_19950330_0020_41:10,actually_respectable,actually,respectable,Maybe the respect came because the Rhinestone Cowboys were actually respectable .,nyt_eng_19950330_0020_41,10,nyt_eng_19950330,1995-03-30,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
127446,nyt_eng_19951020_0511_9:8,acutely_attuned,acutely,attuned,"Given their past experience , they were acutely attuned to hard-to-detect fees .",nyt_eng_19951020_0511_9,8,nyt_eng_19951020,1995-10-20,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
161945,nyt_eng_19960131_0833_22:5,acutely_aware,acutely,aware,"White House officials are acutely aware that the Fed has only one , fairly blunt weapon at its disposal _ the control of short-term interest rates .",nyt_eng_19960131_0833_22,5,nyt_eng_19960131,1996-01-31,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
290591,nyt_eng_19970225_0599_6:21,acutely_suspicious,acutely,suspicious,"And in recent years , as scientific advances seem to come at warp speed , the popular imagination has been acutely suspicious of science mucking around with creation .",nyt_eng_19970225_0599_6,21,nyt_eng_19970225,1997-02-25,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
425552,nyt_eng_19980328_0227_1:4,admittedly_superstitious,admittedly,superstitious,"Elliott Sadler is admittedly superstitious , right down to his black drawers .",nyt_eng_19980328_0227_1,4,nyt_eng_19980328,1998-03-28,1998,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
30,nyt_eng_19950711_0424_37:23,aerobically_fit,aerobically,fit,"In 1989 , the Cooper Institute for Aerobics Research released its own study that showed that people could be healthy without being aerobically fit .",nyt_eng_19950711_0424_37,23,nyt_eng_19950711,1995-07-11,1995,without-being_PP,without-being,PP,False,negative,False
179,nyt_eng_19940701_0271_4:12,again_close,again,close,"Stocks generally followed the course of bonds , whose yields were again close to the highest levels of the year , but whose prices were virtually unchanged .",nyt_eng_19940701_0271_4,12,nyt_eng_19940701,1994-07-01,1994,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
12184,nyt_eng_19940825_0134_1:3,again_fashionable,again,fashionable,It is again fashionable to blame immigrants for society 's woes and frustrations .,nyt_eng_19940825_0134_1,3,nyt_eng_19940825,1994-08-25,1994,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
12648,nyt_eng_19940827_0162_26:4,again_full,again,full,"The stores are again full of presidential T-shirts -LRB-  -LBQ-  Welcome Back ,  -RDQ-  they say -RRB- .",nyt_eng_19940827_0162_26,4,nyt_eng_19940827,1994-08-27,1994,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
29011,nyt_eng_19941108_0168_22:10,again_memorable,again,memorable,"Ms. Foote , the playwright 's daughter , is again memorable in a much darker role than the one she had in  -LBQ-  Talking Pictures .  -RDQ-",nyt_eng_19941108_0168_22,10,nyt_eng_19941108,1994-11-08,1994,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
389688,nyt_eng_19971207_0183_8:18,again_possible,again,possible,"Now , six years after Uzbekistan declared independence from the crumbling Soviet Union , it is once again possible to buy long velvet robes embroidered with intricate patterns of gold thread .",nyt_eng_19971207_0183_8,18,nyt_eng_19971207,1997-12-07,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
53868,nyt_eng_19950227_0244_18:10,again_ready,again,ready,Let it be known that Dave Tonelli is once again ready to worship at the Fenway altar of lost causes .,nyt_eng_19950227_0244_18,10,nyt_eng_19950227,1995-02-27,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
284625,nyt_eng_19970207_0538_3:43,again_safe,again,safe,"In a saga involving a friendly psychic , a compassionate young couple and the perils of a dog alone in a big city in the dead of winter , Boris , a 4-year-old mixture of boxer and pit bull , was once again safe in the arms of his owner , Barbara Listenik , an artist who lives in Williamsburg .",nyt_eng_19970207_0538_3,43,nyt_eng_19970207,1997-02-07,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
106842,nyt_eng_19950817_0398_23:11,again_safe,again,safe,Its liberation would guarantee that Croatia 's beaches are once again safe to tourists .,nyt_eng_19950817_0398_23,11,nyt_eng_19950817,1995-08-17,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
233334,nyt_eng_19960908_0274_3:22,again_strong,again,strong,"But through a combination of cannibalization , smuggling and rebuilding a sprawling network of military industries , the Iraqi army is again strong enough to be capable of enveloping all Iraq in its grasp .",nyt_eng_19960908_0274_3,22,nyt_eng_19960908,1996-09-08,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
415564,nyt_eng_19980224_0234_6:5,again_useful,again,useful,"All these things were again useful , of course , in the  -LBQ-  Goldberg Variations ,  -RDQ-  which , thanks to his fast tempos and blessed avoidance of repeats , were through in half an hour .",nyt_eng_19980224_0234_6,5,nyt_eng_19980224,1998-02-24,1998,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
420191,nyt_eng_19980312_0291_13:6,agonizingly_close,agonizingly,close,"He said negotiators were  -LBQ-  agonizingly close  -RDQ-  to reaching agreement on the outline of a settlement , which the governments want within a month so they can put referenda to voters in May .",nyt_eng_19980312_0291_13,6,nyt_eng_19980312,1998-03-12,1998,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
152668,nyt_eng_19960105_0304_29:14,alarmingly_simple,alarmingly,simple,"And when you look at the ingredients that do that , it 's alarmingly simple .  -RDQ-",nyt_eng_19960105_0304_29,14,nyt_eng_19960105,1996-01-05,1996,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
46716,nyt_eng_19980507_0114_48:4,all_asian,all,asian,It is not all Asian .,nyt_eng_19980507_0114_48,4,nyt_eng_19980507,1998-05-07,1998,not_VP-adv,not,VP-adv,True,negative,False
17310,nyt_eng_19960207_0617_25:9,all_bad,all,bad,"Politically , Gramm 's dual situation is n't all bad for Democrats because it forces Gramm to split his time and money between two campaigns and serving in Congress , said Anne Marie Kilday , spokeswoman for the Texas Democratic Party .",nyt_eng_19960207_0617_25,9,nyt_eng_19960207,1996-02-07,1996,not_VP-adv,not,VP-adv,True,negative,False
101645,nyt_eng_19950802_0466_15:4,all_bad,all,bad,The choices are all bad .  -RDQ-,nyt_eng_19950802_0466_15,4,nyt_eng_19950802,1995-08-02,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
21811,nyt_eng_19960605_0718_39:5,all_bad,all,bad,"The news is not all bad , however .",nyt_eng_19960605_0718_39,5,nyt_eng_19960605,1996-06-05,1996,not_VP-adv,not,VP-adv,True,negative,False
59804,nyt_eng_19950321_0053_22:5,all_black,all,black,The financial experts were all black .,nyt_eng_19950321_0053_22,5,nyt_eng_19950321,1995-03-21,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
80116,nyt_eng_19950529_0214_14:13,all_black,all,black,"But still , at Lindblom , where the student body is almost all black and comes from across the southern half of the city , hope is harvested and sent out into the world every year around this time .",nyt_eng_19950529_0214_14,13,nyt_eng_19950529,1995-05-29,1995,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
397694,nyt_eng_19971230_0643_19:4,all_changed,all,changed,Now that 's all changed .  -RDQ-,nyt_eng_19971230_0643_19,4,nyt_eng_19971230,1997-12-30,1997,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,positive,False
