sentences,pos,scale_type
He was sad_p. He was n't happy_p.,adj,rel
He was not extremely_m happy_p. He was not extremely_m sad_p.,adj,rel
He was not extremely_m happy_p. He was not ridiculously_m sad_p.,adj,rel
He was not extremely_m happy_p. He was not sad_p.,adj,rel
He was not extremely_m happy_p. He was n't extremely_m sad_p.,adj,rel
He was not extremely_m happy_p. He was n't ridiculously_m sad_p.,adj,rel
He was not extremely_m happy_p. He was n't sad_p.,adj,rel
He was not ridiculously_m happy_p. He was not extremely_m sad_p.,adj,rel
He was not ridiculously_m happy_p. He was not ridiculously_m sad_p.,adj,rel
He was not ridiculously_m happy_p. He was not sad_p.,adj,rel
He was not ridiculously_m happy_p. He was n't extremely_m sad_p.,adj,rel
He was not ridiculously_m happy_p. He was n't ridiculously_m sad_p.,adj,rel
He was not ridiculously_m happy_p. He was n't sad_p.,adj,rel
He was not happy_p. He was not extremely_m sad_p.,adj,rel
He was not happy_p. He was not ridiculously_m sad_p.,adj,rel
He was not happy_p. He was not sad_p.,adj,rel
He was not happy_p. He was n't extremely_m sad_p.,adj,rel
He was not happy_p. He was n't ridiculously_m sad_p.,adj,rel
He was not happy_p. He was n't sad_p.,adj,rel
He was n't extremely_m happy_p. He was not extremely_m sad_p.,adj,rel
He was n't extremely_m happy_p. He was not ridiculously_m sad_p.,adj,rel
He was n't extremely_m happy_p. He was not sad_p.,adj,rel
He was n't extremely_m happy_p. He was n't extremely_m sad_p.,adj,rel
He was n't extremely_m happy_p. He was n't ridiculously_m sad_p.,adj,rel
He was n't extremely_m happy_p. He was n't sad_p.,adj,rel
He was n't ridiculously_m happy_p. He was not extremely_m sad_p.,adj,rel
He was n't ridiculously_m happy_p. He was not ridiculously_m sad_p.,adj,rel
He was n't ridiculously_m happy_p. He was not sad_p.,adj,rel
He was n't ridiculously_m happy_p. He was n't extremely_m sad_p.,adj,rel
He was n't ridiculously_m happy_p. He was n't ridiculously_m sad_p.,adj,rel
He was n't ridiculously_m happy_p. He was n't sad_p.,adj,rel
He was n't happy_p. He was not extremely_m sad_p.,adj,rel
He was n't happy_p. He was not ridiculously_m sad_p.,adj,rel
He was n't happy_p. He was not sad_p.,adj,rel
He was n't happy_p. He was n't extremely_m sad_p.,adj,rel
He was n't happy_p. He was n't ridiculously_m sad_p.,adj,rel
He was n't happy_p. He was n't sad_p.,adj,rel
He was not extremely_m happy_p. He was kinda_m happy_p.,adj,rel
He was not extremely_m happy_p. He was sorta_m happy_p.,adj,rel
He was not ridiculously_m happy_p. He was kinda_m happy_p.,adj,rel
He was not ridiculously_m happy_p. He was sorta_m happy_p.,adj,rel
He was n't extremely_m happy_p. He was kinda_m happy_p.,adj,rel
He was n't extremely_m happy_p. He was sorta_m happy_p.,adj,rel
He was n't ridiculously_m happy_p. He was kinda_m happy_p.,adj,rel
He was n't ridiculously_m happy_p. He was sorta_m happy_p.,adj,rel
He was kinda_m happy_p. He was not extremely_m happy_p.,adj,rel
He was kinda_m happy_p. He was not ridiculously_m happy_p.,adj,rel
He was kinda_m happy_p. He was n't extremely_m happy_p.,adj,rel
He was kinda_m happy_p. He was n't ridiculously_m happy_p.,adj,rel
He was sorta_m happy_p. He was not extremely_m happy_p.,adj,rel
He was sorta_m happy_p. He was not ridiculously_m happy_p.,adj,rel
He was sorta_m happy_p. He was n't extremely_m happy_p.,adj,rel
He was sorta_m happy_p. He was n't ridiculously_m happy_p.,adj,rel
He was kinda_m happy_p. He was not extremely_m happy_p but he was not sad_p either.,adj,rel
He was kinda_m happy_p. He was not extremely_m happy_p but he was n't sad_p either.,adj,rel
He was kinda_m happy_p. He was not ridiculously_m happy_p but he was not sad_p either.,adj,rel
He was kinda_m happy_p. He was not ridiculously_m happy_p but he was n't sad_p either.,adj,rel
He was kinda_m happy_p. He was n't extremely_m happy_p but he was not sad_p either.,adj,rel
He was kinda_m happy_p. He was n't extremely_m happy_p but he was n't sad_p either.,adj,rel
He was kinda_m happy_p. He was n't ridiculously_m happy_p but he was not sad_p either.,adj,rel
He was kinda_m happy_p. He was n't ridiculously_m happy_p but he was n't sad_p either.,adj,rel
He was kinda_m happy_p. He was not sad_p but he was not extremely_m happy_p either.,adj,rel
He was kinda_m happy_p. He was not sad_p but he was not ridiculously_m happy_p either.,adj,rel
He was kinda_m happy_p. He was not sad_p but he was n't extremely_m happy_p either.,adj,rel
He was kinda_m happy_p. He was not sad_p but he was n't ridiculously_m happy_p either.,adj,rel
He was kinda_m happy_p. He was n't sad_p but he was not extremely_m happy_p either.,adj,rel
He was kinda_m happy_p. He was n't sad_p but he was not ridiculously_m happy_p either.,adj,rel
He was kinda_m happy_p. He was n't sad_p but he was n't extremely_m happy_p either.,adj,rel
He was kinda_m happy_p. He was n't sad_p but he was n't ridiculously_m happy_p either.,adj,rel
He was sorta_m happy_p. He was not extremely_m happy_p but he was not sad_p either.,adj,rel
He was sorta_m happy_p. He was not extremely_m happy_p but he was n't sad_p either.,adj,rel
He was sorta_m happy_p. He was not ridiculously_m happy_p but he was not sad_p either.,adj,rel
He was sorta_m happy_p. He was not ridiculously_m happy_p but he was n't sad_p either.,adj,rel
He was sorta_m happy_p. He was n't extremely_m happy_p but he was not sad_p either.,adj,rel
He was sorta_m happy_p. He was n't extremely_m happy_p but he was n't sad_p either.,adj,rel
He was sorta_m happy_p. He was n't ridiculously_m happy_p but he was not sad_p either.,adj,rel
He was sorta_m happy_p. He was n't ridiculously_m happy_p but he was n't sad_p either.,adj,rel
He was sorta_m happy_p. He was not sad_p but he was not extremely_m happy_p either.,adj,rel
He was sorta_m happy_p. He was not sad_p but he was not ridiculously_m happy_p either.,adj,rel
He was sorta_m happy_p. He was not sad_p but he was n't extremely_m happy_p either.,adj,rel
He was sorta_m happy_p. He was not sad_p but he was n't ridiculously_m happy_p either.,adj,rel
He was sorta_m happy_p. He was n't sad_p but he was not extremely_m happy_p either.,adj,rel
He was sorta_m happy_p. He was n't sad_p but he was not ridiculously_m happy_p either.,adj,rel
He was sorta_m happy_p. He was n't sad_p but he was n't extremely_m happy_p either.,adj,rel
He was sorta_m happy_p. He was n't sad_p but he was n't ridiculously_m happy_p either.,adj,rel
He was not extremely_m happy_p but he was not sad_p either. He was kinda_m happy_p.,adj,rel
He was not extremely_m happy_p but he was not sad_p either. He was sorta_m happy_p.,adj,rel
He was not extremely_m happy_p but he was n't sad_p either. He was kinda_m happy_p.,adj,rel
He was not extremely_m happy_p but he was n't sad_p either. He was sorta_m happy_p.,adj,rel
He was not ridiculously_m happy_p but he was not sad_p either. He was kinda_m happy_p.,adj,rel
He was not ridiculously_m happy_p but he was not sad_p either. He was sorta_m happy_p.,adj,rel
He was not ridiculously_m happy_p but he was n't sad_p either. He was kinda_m happy_p.,adj,rel
He was not ridiculously_m happy_p but he was n't sad_p either. He was sorta_m happy_p.,adj,rel
He was n't extremely_m happy_p but he was not sad_p either. He was kinda_m happy_p.,adj,rel
He was n't extremely_m happy_p but he was not sad_p either. He was sorta_m happy_p.,adj,rel
He was n't extremely_m happy_p but he was n't sad_p either. He was kinda_m happy_p.,adj,rel
He was n't extremely_m happy_p but he was n't sad_p either. He was sorta_m happy_p.,adj,rel
He was n't ridiculously_m happy_p but he was not sad_p either. He was kinda_m happy_p.,adj,rel
He was n't ridiculously_m happy_p but he was not sad_p either. He was sorta_m happy_p.,adj,rel
He was n't ridiculously_m happy_p but he was n't sad_p either. He was kinda_m happy_p.,adj,rel
He was n't ridiculously_m happy_p but he was n't sad_p either. He was sorta_m happy_p.,adj,rel
He was not sad_p but he was not extremely_m happy_p either. He was kinda_m happy_p.,adj,rel
He was not sad_p but he was not extremely_m happy_p either. He was sorta_m happy_p.,adj,rel
He was not sad_p but he was not ridiculously_m happy_p either. He was kinda_m happy_p.,adj,rel
He was not sad_p but he was not ridiculously_m happy_p either. He was sorta_m happy_p.,adj,rel
He was not sad_p but he was n't extremely_m happy_p either. He was kinda_m happy_p.,adj,rel
He was not sad_p but he was n't extremely_m happy_p either. He was sorta_m happy_p.,adj,rel
He was not sad_p but he was n't ridiculously_m happy_p either. He was kinda_m happy_p.,adj,rel
He was not sad_p but he was n't ridiculously_m happy_p either. He was sorta_m happy_p.,adj,rel
He was n't sad_p but he was not extremely_m happy_p either. He was kinda_m happy_p.,adj,rel
He was n't sad_p but he was not extremely_m happy_p either. He was sorta_m happy_p.,adj,rel
He was n't sad_p but he was not ridiculously_m happy_p either. He was kinda_m happy_p.,adj,rel
He was n't sad_p but he was not ridiculously_m happy_p either. He was sorta_m happy_p.,adj,rel
He was n't sad_p but he was n't extremely_m happy_p either. He was kinda_m happy_p.,adj,rel
He was n't sad_p but he was n't extremely_m happy_p either. He was sorta_m happy_p.,adj,rel
He was n't sad_p but he was n't ridiculously_m happy_p either. He was kinda_m happy_p.,adj,rel
He was n't sad_p but he was n't ridiculously_m happy_p either. He was sorta_m happy_p.,adj,rel
He was not extremely_m sad_p. He was kinda_m happy_p.,adj,rel
He was not extremely_m sad_p. He was sorta_m happy_p.,adj,rel
He was not extremely_m sad_p. He was extremely_m happy_p.,adj,rel
He was not extremely_m sad_p. He was ridiculously_m happy_p.,adj,rel
He was not extremely_m sad_p. He was happy_p.,adj,rel
He was not ridiculously_m sad_p. He was kinda_m happy_p.,adj,rel
He was not ridiculously_m sad_p. He was sorta_m happy_p.,adj,rel
He was not ridiculously_m sad_p. He was extremely_m happy_p.,adj,rel
He was not ridiculously_m sad_p. He was ridiculously_m happy_p.,adj,rel
He was not ridiculously_m sad_p. He was happy_p.,adj,rel
He was not sad_p. He was kinda_m happy_p.,adj,rel
He was not sad_p. He was sorta_m happy_p.,adj,rel
He was not sad_p. He was extremely_m happy_p.,adj,rel
He was not sad_p. He was ridiculously_m happy_p.,adj,rel
He was not sad_p. He was happy_p.,adj,rel
He was n't extremely_m sad_p. He was kinda_m happy_p.,adj,rel
He was n't extremely_m sad_p. He was sorta_m happy_p.,adj,rel
He was n't extremely_m sad_p. He was extremely_m happy_p.,adj,rel
He was n't extremely_m sad_p. He was ridiculously_m happy_p.,adj,rel
He was n't extremely_m sad_p. He was happy_p.,adj,rel
He was n't ridiculously_m sad_p. He was kinda_m happy_p.,adj,rel
He was n't ridiculously_m sad_p. He was sorta_m happy_p.,adj,rel
He was n't ridiculously_m sad_p. He was extremely_m happy_p.,adj,rel
He was n't ridiculously_m sad_p. He was ridiculously_m happy_p.,adj,rel
He was n't ridiculously_m sad_p. He was happy_p.,adj,rel
He was n't sad_p. He was kinda_m happy_p.,adj,rel
He was n't sad_p. He was sorta_m happy_p.,adj,rel
He was n't sad_p. He was extremely_m happy_p.,adj,rel
He was n't sad_p. He was ridiculously_m happy_p.,adj,rel
He was n't sad_p. He was happy_p.,adj,rel
He was kinda_m happy_p. He was not extremely_m sad_p.,adj,rel
He was kinda_m happy_p. He was not ridiculously_m sad_p.,adj,rel
He was kinda_m happy_p. He was not sad_p.,adj,rel
He was kinda_m happy_p. He was n't extremely_m sad_p.,adj,rel
He was kinda_m happy_p. He was n't ridiculously_m sad_p.,adj,rel
He was kinda_m happy_p. He was n't sad_p.,adj,rel
He was sorta_m happy_p. He was not extremely_m sad_p.,adj,rel
He was sorta_m happy_p. He was not ridiculously_m sad_p.,adj,rel
He was sorta_m happy_p. He was not sad_p.,adj,rel
He was sorta_m happy_p. He was n't extremely_m sad_p.,adj,rel
He was sorta_m happy_p. He was n't ridiculously_m sad_p.,adj,rel
He was sorta_m happy_p. He was n't sad_p.,adj,rel
He was extremely_m happy_p. He was not extremely_m sad_p.,adj,rel
He was extremely_m happy_p. He was not ridiculously_m sad_p.,adj,rel
He was extremely_m happy_p. He was not sad_p.,adj,rel
He was extremely_m happy_p. He was n't extremely_m sad_p.,adj,rel
He was extremely_m happy_p. He was n't ridiculously_m sad_p.,adj,rel
He was extremely_m happy_p. He was n't sad_p.,adj,rel
He was ridiculously_m happy_p. He was not extremely_m sad_p.,adj,rel
He was ridiculously_m happy_p. He was not ridiculously_m sad_p.,adj,rel
He was ridiculously_m happy_p. He was not sad_p.,adj,rel
He was ridiculously_m happy_p. He was n't extremely_m sad_p.,adj,rel
He was ridiculously_m happy_p. He was n't ridiculously_m sad_p.,adj,rel
He was ridiculously_m happy_p. He was n't sad_p.,adj,rel
He was happy_p. He was not extremely_m sad_p.,adj,rel
He was happy_p. He was not ridiculously_m sad_p.,adj,rel
He was happy_p. He was not sad_p.,adj,rel
He was happy_p. He was n't extremely_m sad_p.,adj,rel
He was happy_p. He was n't ridiculously_m sad_p.,adj,rel
He was happy_p. He was n't sad_p.,adj,rel
He was not extremely_m sad_p. He was not extremely_m happy_p.,adj,rel
He was not extremely_m sad_p. He was not ridiculously_m happy_p.,adj,rel
He was not extremely_m sad_p. He was not happy_p.,adj,rel
He was not extremely_m sad_p. He was n't extremely_m happy_p.,adj,rel
He was not extremely_m sad_p. He was n't ridiculously_m happy_p.,adj,rel
He was not extremely_m sad_p. He was n't happy_p.,adj,rel
He was not ridiculously_m sad_p. He was not extremely_m happy_p.,adj,rel
He was not ridiculously_m sad_p. He was not ridiculously_m happy_p.,adj,rel
He was not ridiculously_m sad_p. He was not happy_p.,adj,rel
He was not ridiculously_m sad_p. He was n't extremely_m happy_p.,adj,rel
He was not ridiculously_m sad_p. He was n't ridiculously_m happy_p.,adj,rel
He was not ridiculously_m sad_p. He was n't happy_p.,adj,rel
He was not sad_p. He was not extremely_m happy_p.,adj,rel
He was not sad_p. He was not ridiculously_m happy_p.,adj,rel
He was not sad_p. He was not happy_p.,adj,rel
He was not sad_p. He was n't extremely_m happy_p.,adj,rel
He was not sad_p. He was n't ridiculously_m happy_p.,adj,rel
He was not sad_p. He was n't happy_p.,adj,rel
He was n't extremely_m sad_p. He was not extremely_m happy_p.,adj,rel
He was n't extremely_m sad_p. He was not ridiculously_m happy_p.,adj,rel
He was n't extremely_m sad_p. He was not happy_p.,adj,rel
He was n't extremely_m sad_p. He was n't extremely_m happy_p.,adj,rel
He was n't extremely_m sad_p. He was n't ridiculously_m happy_p.,adj,rel
He was n't extremely_m sad_p. He was n't happy_p.,adj,rel
He was n't ridiculously_m sad_p. He was not extremely_m happy_p.,adj,rel
He was n't ridiculously_m sad_p. He was not ridiculously_m happy_p.,adj,rel
He was n't ridiculously_m sad_p. He was not happy_p.,adj,rel
He was n't ridiculously_m sad_p. He was n't extremely_m happy_p.,adj,rel
He was n't ridiculously_m sad_p. He was n't ridiculously_m happy_p.,adj,rel
He was n't ridiculously_m sad_p. He was n't happy_p.,adj,rel
He was n't sad_p. He was not extremely_m happy_p.,adj,rel
He was n't sad_p. He was not ridiculously_m happy_p.,adj,rel
He was n't sad_p. He was not happy_p.,adj,rel
He was n't sad_p. He was n't extremely_m happy_p.,adj,rel
He was n't sad_p. He was n't ridiculously_m happy_p.,adj,rel
He was n't sad_p. He was n't happy_p.,adj,rel
He was not extremely_m sad_p. He was kinda_m sad_p.,adj,rel
He was not extremely_m sad_p. He was sorta_m sad_p.,adj,rel
He was not ridiculously_m sad_p. He was kinda_m sad_p.,adj,rel
He was not ridiculously_m sad_p. He was sorta_m sad_p.,adj,rel
He was n't extremely_m sad_p. He was kinda_m sad_p.,adj,rel
He was n't extremely_m sad_p. He was sorta_m sad_p.,adj,rel
He was n't ridiculously_m sad_p. He was kinda_m sad_p.,adj,rel
He was n't ridiculously_m sad_p. He was sorta_m sad_p.,adj,rel
He was kinda_m sad_p. He was not extremely_m sad_p.,adj,rel
He was kinda_m sad_p. He was not ridiculously_m sad_p.,adj,rel
He was kinda_m sad_p. He was n't extremely_m sad_p.,adj,rel
He was kinda_m sad_p. He was n't ridiculously_m sad_p.,adj,rel
He was sorta_m sad_p. He was not extremely_m sad_p.,adj,rel
He was sorta_m sad_p. He was not ridiculously_m sad_p.,adj,rel
He was sorta_m sad_p. He was n't extremely_m sad_p.,adj,rel
He was sorta_m sad_p. He was n't ridiculously_m sad_p.,adj,rel
He was kinda_m sad_p. He was not extremely_m sad_p but he was not happy_p either.,adj,rel
He was kinda_m sad_p. He was not extremely_m sad_p but he was n't happy_p either.,adj,rel
He was kinda_m sad_p. He was not ridiculously_m sad_p but he was not happy_p either.,adj,rel
He was kinda_m sad_p. He was not ridiculously_m sad_p but he was n't happy_p either.,adj,rel
He was kinda_m sad_p. He was n't extremely_m sad_p but he was not happy_p either.,adj,rel
He was kinda_m sad_p. He was n't extremely_m sad_p but he was n't happy_p either.,adj,rel
He was kinda_m sad_p. He was n't ridiculously_m sad_p but he was not happy_p either.,adj,rel
He was kinda_m sad_p. He was n't ridiculously_m sad_p but he was n't happy_p either.,adj,rel
He was kinda_m sad_p. He was not happy_p but he was not extremely_m sad_p either.,adj,rel
He was kinda_m sad_p. He was not happy_p but he was not ridiculously_m sad_p either.,adj,rel
He was kinda_m sad_p. He was not happy_p but he was n't extremely_m sad_p either.,adj,rel
He was kinda_m sad_p. He was not happy_p but he was n't ridiculously_m sad_p either.,adj,rel
He was kinda_m sad_p. He was n't happy_p but he was not extremely_m sad_p either.,adj,rel
He was kinda_m sad_p. He was n't happy_p but he was not ridiculously_m sad_p either.,adj,rel
He was kinda_m sad_p. He was n't happy_p but he was n't extremely_m sad_p either.,adj,rel
He was kinda_m sad_p. He was n't happy_p but he was n't ridiculously_m sad_p either.,adj,rel
He was sorta_m sad_p. He was not extremely_m sad_p but he was not happy_p either.,adj,rel
He was sorta_m sad_p. He was not extremely_m sad_p but he was n't happy_p either.,adj,rel
He was sorta_m sad_p. He was not ridiculously_m sad_p but he was not happy_p either.,adj,rel
He was sorta_m sad_p. He was not ridiculously_m sad_p but he was n't happy_p either.,adj,rel
He was sorta_m sad_p. He was n't extremely_m sad_p but he was not happy_p either.,adj,rel
He was sorta_m sad_p. He was n't extremely_m sad_p but he was n't happy_p either.,adj,rel
He was sorta_m sad_p. He was n't ridiculously_m sad_p but he was not happy_p either.,adj,rel
He was sorta_m sad_p. He was n't ridiculously_m sad_p but he was n't happy_p either.,adj,rel
He was sorta_m sad_p. He was not happy_p but he was not extremely_m sad_p either.,adj,rel
He was sorta_m sad_p. He was not happy_p but he was not ridiculously_m sad_p either.,adj,rel
He was sorta_m sad_p. He was not happy_p but he was n't extremely_m sad_p either.,adj,rel
He was sorta_m sad_p. He was not happy_p but he was n't ridiculously_m sad_p either.,adj,rel
He was sorta_m sad_p. He was n't happy_p but he was not extremely_m sad_p either.,adj,rel
He was sorta_m sad_p. He was n't happy_p but he was not ridiculously_m sad_p either.,adj,rel
He was sorta_m sad_p. He was n't happy_p but he was n't extremely_m sad_p either.,adj,rel
He was sorta_m sad_p. He was n't happy_p but he was n't ridiculously_m sad_p either.,adj,rel
He was not extremely_m sad_p but he was not happy_p either. He was kinda_m sad_p.,adj,rel
He was not extremely_m sad_p but he was not happy_p either. He was sorta_m sad_p.,adj,rel
He was not extremely_m sad_p but he was n't happy_p either. He was kinda_m sad_p.,adj,rel
He was not extremely_m sad_p but he was n't happy_p either. He was sorta_m sad_p.,adj,rel
He was not ridiculously_m sad_p but he was not happy_p either. He was kinda_m sad_p.,adj,rel
He was not ridiculously_m sad_p but he was not happy_p either. He was sorta_m sad_p.,adj,rel
He was not ridiculously_m sad_p but he was n't happy_p either. He was kinda_m sad_p.,adj,rel
He was not ridiculously_m sad_p but he was n't happy_p either. He was sorta_m sad_p.,adj,rel
He was n't extremely_m sad_p but he was not happy_p either. He was kinda_m sad_p.,adj,rel
He was n't extremely_m sad_p but he was not happy_p either. He was sorta_m sad_p.,adj,rel
He was n't extremely_m sad_p but he was n't happy_p either. He was kinda_m sad_p.,adj,rel
He was n't extremely_m sad_p but he was n't happy_p either. He was sorta_m sad_p.,adj,rel
He was n't ridiculously_m sad_p but he was not happy_p either. He was kinda_m sad_p.,adj,rel
He was n't ridiculously_m sad_p but he was not happy_p either. He was sorta_m sad_p.,adj,rel
He was n't ridiculously_m sad_p but he was n't happy_p either. He was kinda_m sad_p.,adj,rel
He was n't ridiculously_m sad_p but he was n't happy_p either. He was sorta_m sad_p.,adj,rel
He was not happy_p but he was not extremely_m sad_p either. He was kinda_m sad_p.,adj,rel
He was not happy_p but he was not extremely_m sad_p either. He was sorta_m sad_p.,adj,rel
He was not happy_p but he was not ridiculously_m sad_p either. He was kinda_m sad_p.,adj,rel
He was not happy_p but he was not ridiculously_m sad_p either. He was sorta_m sad_p.,adj,rel
He was not happy_p but he was n't extremely_m sad_p either. He was kinda_m sad_p.,adj,rel
He was not happy_p but he was n't extremely_m sad_p either. He was sorta_m sad_p.,adj,rel
He was not happy_p but he was n't ridiculously_m sad_p either. He was kinda_m sad_p.,adj,rel
He was not happy_p but he was n't ridiculously_m sad_p either. He was sorta_m sad_p.,adj,rel
He was n't happy_p but he was not extremely_m sad_p either. He was kinda_m sad_p.,adj,rel
He was n't happy_p but he was not extremely_m sad_p either. He was sorta_m sad_p.,adj,rel
He was n't happy_p but he was not ridiculously_m sad_p either. He was kinda_m sad_p.,adj,rel
He was n't happy_p but he was not ridiculously_m sad_p either. He was sorta_m sad_p.,adj,rel
He was n't happy_p but he was n't extremely_m sad_p either. He was kinda_m sad_p.,adj,rel
He was n't happy_p but he was n't extremely_m sad_p either. He was sorta_m sad_p.,adj,rel
He was n't happy_p but he was n't ridiculously_m sad_p either. He was kinda_m sad_p.,adj,rel
He was n't happy_p but he was n't ridiculously_m sad_p either. He was sorta_m sad_p.,adj,rel
It was not extremely_m wet_p. It was kinda_m dry_p.,adj,abs
It was not extremely_m wet_p. It was sorta_m dry_p.,adj,abs
It was not extremely_m wet_p. It was slightly_m dry_p.,adj,abs
It was not extremely_m wet_p. It was partially_m dry_p.,adj,abs
It was not extremely_m wet_p. It was slightly_m dry_p.,adj,abs
It was not extremely_m wet_p. It was partially_m dry_p.,adj,abs
It was not extremely_m wet_p. It was extremely_m dry_p.,adj,abs
It was not extremely_m wet_p. It was ridiculously_m dry_p.,adj,abs
It was not extremely_m wet_p. It was completely_m dry_p.,adj,abs
It was not extremely_m wet_p. It was totally_m dry_p.,adj,abs
It was not extremely_m wet_p. It was completely_m dry_p.,adj,abs
It was not extremely_m wet_p. It was totally_m dry_p.,adj,abs
It was not extremely_m wet_p. It was dry_p.,adj,abs
It was not ridiculously_m wet_p. It was kinda_m dry_p.,adj,abs
It was not ridiculously_m wet_p. It was sorta_m dry_p.,adj,abs
It was not ridiculously_m wet_p. It was slightly_m dry_p.,adj,abs
It was not ridiculously_m wet_p. It was partially_m dry_p.,adj,abs
It was not ridiculously_m wet_p. It was slightly_m dry_p.,adj,abs
It was not ridiculously_m wet_p. It was partially_m dry_p.,adj,abs
It was not ridiculously_m wet_p. It was extremely_m dry_p.,adj,abs
It was not ridiculously_m wet_p. It was ridiculously_m dry_p.,adj,abs
It was not ridiculously_m wet_p. It was completely_m dry_p.,adj,abs
It was not ridiculously_m wet_p. It was totally_m dry_p.,adj,abs
It was not ridiculously_m wet_p. It was completely_m dry_p.,adj,abs
It was not ridiculously_m wet_p. It was totally_m dry_p.,adj,abs
It was not ridiculously_m wet_p. It was dry_p.,adj,abs
It was not completely_m wet_p. It was kinda_m dry_p.,adj,abs
It was not completely_m wet_p. It was sorta_m dry_p.,adj,abs
It was not completely_m wet_p. It was slightly_m dry_p.,adj,abs
It was not completely_m wet_p. It was partially_m dry_p.,adj,abs
It was not completely_m wet_p. It was slightly_m dry_p.,adj,abs
It was not completely_m wet_p. It was partially_m dry_p.,adj,abs
It was not completely_m wet_p. It was extremely_m dry_p.,adj,abs
It was not completely_m wet_p. It was ridiculously_m dry_p.,adj,abs
It was not completely_m wet_p. It was completely_m dry_p.,adj,abs
It was not completely_m wet_p. It was totally_m dry_p.,adj,abs
It was not completely_m wet_p. It was completely_m dry_p.,adj,abs
It was not completely_m wet_p. It was totally_m dry_p.,adj,abs
It was not completely_m wet_p. It was dry_p.,adj,abs
It was not totally_m wet_p. It was kinda_m dry_p.,adj,abs
It was not totally_m wet_p. It was sorta_m dry_p.,adj,abs
It was not totally_m wet_p. It was slightly_m dry_p.,adj,abs
It was not totally_m wet_p. It was partially_m dry_p.,adj,abs
It was not totally_m wet_p. It was slightly_m dry_p.,adj,abs
