line_in_source,hit_id,colloc,adv,adj,sent_text,sent_id,adv_index,corpus_segment,date,year,polarity,context,context_word,context_type,in_basic,context_overlap
330572,nyt_eng_19970623_0287_19:21,actually_punitive,actually,punitive,Breyer said Kansas did n't provide adequate treatment during Hendricks ' civil confinement -- an indication that the statute was actually punitive .,nyt_eng_19970623_0287_19,21,nyt_eng_19970623,1997-06-23,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
140626,nyt_eng_19951129_0164_2:13,acutely_aware,acutely,aware,"As a black columnist who receives daily hate mail , I am acutely aware of this most destructive of human sentiments and my uneasy relationship to it .",nyt_eng_19951129_0164_2,13,nyt_eng_19951129,1995-11-29,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
22972,nyt_eng_19941013_0009_27:5,acutely_evident,acutely,evident,That vocal vacuum was acutely evident to Ceballos whenever his Suns played the Lakers .,nyt_eng_19941013_0009_27,5,nyt_eng_19941013,1994-10-13,1994,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
322896,nyt_eng_19970530_0245_19:4,affectingly_melancholy,affectingly,melancholy,And she 's affectingly melancholy when she wonders aloud why the architect does n't fall head over heels for her after she encourages him .,nyt_eng_19970530_0245_19,4,nyt_eng_19970530,1997-05-30,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
164986,nyt_eng_19960208_0862_31:14,all_good,all,good,"-LBQ-  And , in fact , the fundamentals of the new Disney are all good .",nyt_eng_19960208_0862_31,14,nyt_eng_19960208,1996-02-08,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
354771,nyt_eng_19970902_0694_17:4,all_new,all,new,"-LBQ-  This is all new to us ,  -RDQ-  said Francine Burris , an honors English teacher at Arlington High School in Arlington Texas .",nyt_eng_19970902_0694_17,4,nyt_eng_19970902,1997-09-02,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
76911,nyt_eng_19950518_0039_8:20,all_right,all,right,"-LBQ-  If we play as hard -LRB- in Game 6 -RRB- and do n't over-try , we 'll be all right ,  -RDQ-  he said before the team departed for Houston .",nyt_eng_19950518_0039_8,20,nyt_eng_19950518,1995-05-18,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
79003,nyt_eng_19950525_0187_20:6,all_wrong,all,wrong,But the symbolism here is all wrong .,nyt_eng_19950525_0187_20,6,nyt_eng_19950525,1995-05-25,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
296984,nyt_eng_19970316_0269_25:4,almost_accidental,almost,accidental,His success was almost accidental  -COL-  People who were close to Wallace in the late 1980s said that he used to rap only for fun .,nyt_eng_19970316_0269_25,4,nyt_eng_19970316,1997-03-16,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
167471,nyt_eng_19960215_0868_13:22,almost_certain,almost,certain,"If the faculty votes tenure and if Guinier accepts _ both of which seem likely , sources say _ it is almost certain that the law school 's governing board , its dean , Robert C. Clark , and Harvard 's president , Neil L. Rudenstine , will endorse the action .",nyt_eng_19960215_0868_13,22,nyt_eng_19960215,1996-02-15,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
117227,nyt_eng_19950920_0465_3:22,almost_certain,almost,certain,"In 1996 , at least seven of the 15 Democratic senators up for re-election will be retiring , and it is almost certain that Republicans will pick up some of those seats .",nyt_eng_19950920_0465_3,22,nyt_eng_19950920,1995-09-20,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
252447,nyt_eng_19961101_0372_15:5,almost_certain,almost,certain,"Yes , it 's almost certain there will be some bumpy years ahead for all of these funds .",nyt_eng_19961101_0372_15,5,nyt_eng_19961101,1996-11-01,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
2402,nyt_eng_19940712_0301_17:13,almost_certain,almost,certain,"This time , Dahlin , who has scored four goals , is almost certain to play despite a strained right calf that forced him to exit in overtime last Sunday 's quarterfinal game against Romania .",nyt_eng_19940712_0301_17,13,nyt_eng_19940712,1994-07-12,1994,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
369670,nyt_eng_19971013_0479_25:16,almost_cool,almost,cool,"Hey , for a while there in the middle of that decade , Denver was almost cool _ and he was definitely huge .",nyt_eng_19971013_0479_25,16,nyt_eng_19971013,1997-10-13,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
54367,nyt_eng_19950228_0440_6:13,almost_empty,almost,empty,"After the downfall of its main tenant , 28 State Street was almost empty for about two years , standing in the heart of downtown as an eerie symbol of the collapse of New England commercial real estate .",nyt_eng_19950228_0440_6,13,nyt_eng_19950228,1995-02-28,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
153723,nyt_eng_19960109_0216_44:16,almost_giddy,almost,giddy,"As we left her office and headed into San Cristobal , Annie and I were almost giddy over the gem we had found .",nyt_eng_19960109_0216_44,16,nyt_eng_19960109,1996-01-09,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
155312,nyt_eng_19960113_0099_16:4,almost_identical,almost,identical,The restaurant was almost identical to the Grand Luncheonette except that it sold tropical drinks made from exotic fruits like papayas .,nyt_eng_19960113_0099_16,4,nyt_eng_19960113,1996-01-13,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
186304,nyt_eng_19960410_0487_51:18,almost_impossible,almost,impossible,"Businessmen hustle back and forth across the streets , lugging suitcases full of money  -COL-  It 's almost impossible to cash a check in the city because of the precarious situation of the banks .",nyt_eng_19960410_0487_51,18,nyt_eng_19960410,1996-04-10,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
403509,nyt_eng_19980116_0799_20:47,almost_impossible,almost,impossible,"-LBQ-  It 's hard enough to get the United States to raise regulatory standards ,  -RDQ-  said Clarence Ditlow , the executive director of the Center for Auto Safety in Washington ,  -LBQ-  but if we get harmonized regulations with the Europeans , it 'll be almost impossible .",nyt_eng_19980116_0799_20,47,nyt_eng_19980116,1998-01-16,1998,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
30582,nyt_eng_19941116_0092_10:23,almost_impossible,almost,impossible,"As for the others in the Round Table , there are so few still alive who remember them that it will be almost impossible for later generations to separate the characters of the movie from the historical characters .",nyt_eng_19941116_0092_10,23,nyt_eng_19941116,1994-11-16,1994,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
165579,nyt_eng_19960210_0130_40:29,almost_inevitable,almost,inevitable,"But Jeffrey R. Benedict , an author of a 1995 study on male student athletes and sexual assault at more than 20 colleges , said preferential treatment was almost inevitable .",nyt_eng_19960210_0130_40,29,nyt_eng_19960210,1996-02-10,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
359589,nyt_eng_19970915_0701_1:11,almost_over,almost,over,"Mo Vaughn thinks his days with the Red Sox are almost over , and he believes the ball club is trying to paint him as a greedy malcontent .",nyt_eng_19970915_0701_1,11,nyt_eng_19970915,1997-09-15,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
122992,nyt_eng_19951008_0267_2:16,almost_perfect,almost,perfect,"Three days into training camp , Armstrong , Tim Hardaway and Latrell Sprewell have been almost perfect complements , just as coach Rick Adelman had said they would be the day Armstrong was acquired .",nyt_eng_19951008_0267_2,16,nyt_eng_19951008,1995-10-08,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
86755,nyt_eng_19950617_0256_13:10,almost_protective,almost,protective,"The Inn 's temperament is gracious , old-fashioned and almost protective of guests ' need for insularity .",nyt_eng_19950617_0256_13,10,nyt_eng_19950617,1995-06-17,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
281451,nyt_eng_19970129_0698_20:8,almost_sure,almost,sure,Its addition to the watch list is almost sure to raise Maine Yankee 's costs as workers respond to heightened NRC inspections .,nyt_eng_19970129_0698_20,8,nyt_eng_19970129,1997-01-29,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
379255,nyt_eng_19971107_0065_6:4,already_apparent,already,apparent,"-LBQ-  It is already apparent that the financing of any cash offer would be very demanding , potentially an excessive burden on the businesses so acquired , and possibly beyond Mayflower 's capability ,  -RDQ-  Vickers said in the shareholder letter .",nyt_eng_19971107_0065_6,4,nyt_eng_19971107,1997-11-07,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
183091,nyt_eng_19960331_0334_2:8,already_crazy,already,crazy,"For one thing , the town is already crazy .",nyt_eng_19960331_0334_2,8,nyt_eng_19960331,1996-03-31,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
12334,nyt_eng_19940825_0337_20:26,already_hard-pressed,already,hard-pressed,"In this fall 's elections , disillusionment with Clinton and his party could badly hurt the re-election hopes of Gov. Lawton Chiles , who is already hard-pressed and who in November may have to battle former President George Bush 's Spanish-speaking son Jeb .",nyt_eng_19940825_0337_20,26,nyt_eng_19940825,1994-08-25,1994,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
93368,nyt_eng_19950708_0066_8:6,also_advisable,also,advisable,Miller added that it is also advisable to provide the landlord with an estimate of the cost of the repairs that will be made .,nyt_eng_19950708_0066_8,6,nyt_eng_19950708,1995-07-08,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
57485,nyt_eng_19950313_0267_11:13,also_available,also,available,-LRB- I tried the Windows version ; DOS and Macintosh versions are also available . -RRB-,nyt_eng_19950313_0267_11,13,nyt_eng_19950313,1995-03-13,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
328420,nyt_eng_19970617_0389_21:37,also_available,also,available,"People who drive themselves to the Monument , near Chinle , Ariz. , can take a tour of two hours or longer with a Navajo guide ; hike , or overnight there -LRB- horse rentals are also available -RRB- , but logistics are more complex for nondrivers .",nyt_eng_19970617_0389_21,37,nyt_eng_19970617,1997-06-17,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
372114,nyt_eng_19971020_0248_59:8,also_bisexual,also,bisexual,"In  -LBQ-  Pillow Book  -RDQ-  he was also bisexual , and he says he has absolutely no qualms about playing those kinds of roles .",nyt_eng_19971020_0248_59,8,nyt_eng_19971020,1997-10-20,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
343367,nyt_eng_19970729_0828_9:4,also_clear,also,clear,-LBQ-  It is also clear that inflationary expectations in the Australian community have taken a step down .  -RDQ-,nyt_eng_19970729_0828_9,4,nyt_eng_19970729,1997-07-29,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
405578,nyt_eng_19980122_0557_36:9,also_cloying,also,cloying,"In addition to being odd , she 's also cloying , annoying and thick as a brick .",nyt_eng_19980122_0557_36,9,nyt_eng_19980122,1998-01-22,1998,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
148213,nyt_eng_19951221_0116_10:4,also_contingent,also,contingent,"The offer is also contingent on approval by European Union and U.S. antitrust authorities , which Elektrowatt expects by the beginning of February .",nyt_eng_19951221_0116_10,4,nyt_eng_19951221,1995-12-21,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
13172,nyt_eng_19940830_0099_36:3,also_convincing,also,convincing,He was also convincing in Balanchine 's abstract  -LBQ-  Danses Concertantes .  -RDQ-,nyt_eng_19940830_0099_36,3,nyt_eng_19940830,1994-08-30,1994,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
386687,nyt_eng_19971128_0101_7:3,also_encouraged,also,encouraged,Investors were also encouraged that the bolivar would remain strong .,nyt_eng_19971128_0101_7,3,nyt_eng_19971128,1997-11-28,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
309596,nyt_eng_19970422_0129_18:4,also_hesitant,also,hesitant,"Some investors are also hesitant to buy into another company that will remain under state control after the government revoked lucrative overseas mining rights from state-controlled Eramet , ignoring objections from minority shareholders .",nyt_eng_19970422_0129_18,4,nyt_eng_19970422,1997-04-22,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
206344,nyt_eng_19960606_0215_6:4,also_important,also,important,-LBQ-  Diet is also important .,nyt_eng_19960606_0215_6,4,nyt_eng_19960606,1996-06-06,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
403245,nyt_eng_19980116_0269_33:3,also_important,also,important,"It 's also important to point out that poll results vary considerably , analysts said .",nyt_eng_19980116_0269_33,3,nyt_eng_19980116,1998-01-16,1998,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
26204,nyt_eng_19941026_0386_32:5,also_irresponsible,also,irresponsible,-LBQ-  But it 's also irresponsible to suppress or poo-poo data that 's accurate because someone might use it in a way you do n't like .  -RDQ-,nyt_eng_19941026_0386_32,5,nyt_eng_19941026,1994-10-26,1994,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
118610,nyt_eng_19950924_0102_25:4,also_jewish,also,jewish,"Three others are also Jewish  -COL-  Kitaj , who was born in Cleveland , as well as Freud -LRB- a grandson of Sigmund Freud -RRB- and Auerbach , both of whom were born in Berlin and brought to London as children .",nyt_eng_19950924_0102_25,4,nyt_eng_19950924,1995-09-24,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
22159,nyt_eng_19941009_0133_3:9,also_mad,also,mad,"Mannered they may be , but they are also mad .",nyt_eng_19941009_0133_3,9,nyt_eng_19941009,1994-10-09,1994,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
233484,nyt_eng_19960909_0171_4:5,also_necessary,also,necessary,"However , it is also necessary to continually monitor these relationships and make adjustments when necessary .",nyt_eng_19960909_0171_4,5,nyt_eng_19960909,1996-09-09,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
166798,nyt_eng_19960214_0345_7:3,also_obvious,also,obvious,It is also obvious Tutu has become Mandela 's conscience .,nyt_eng_19960214_0345_7,3,nyt_eng_19960214,1996-02-14,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
165351,nyt_eng_19960209_0648_11:30,also_prepared,also,prepared,"The wealthy magazine publisher , who already has spent millions of dollars on television advertising to attack his opponents while moving himself from political obscurity to prominence , was also prepared to buy a half-hour of TV time in Iowa Sunday night to defend himself on his own program .",nyt_eng_19960209_0648_11,30,nyt_eng_19960209,1996-02-09,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
280320,nyt_eng_19970126_0225_10:5,also_reluctant,also,reluctant,The Saudi leadership is also reluctant to acknowledge that the kingdom may now be home to a violent opposition intent on overthrowing the monarchy and evicting American forces .,nyt_eng_19970126_0225_10,5,nyt_eng_19970126,1997-01-26,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
424369,nyt_eng_19980325_0334_8:8,also_reluctant,also,reluctant,"Italy , France , and Germany were also reluctant to impose new sanctions ; only Britain backed the United States .",nyt_eng_19980325_0334_8,8,nyt_eng_19980325,1998-03-25,1998,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
428861,nyt_eng_19980408_0123_3:4,also_rife,also,rife,The Internet is also rife with free bootleg versions of those programs .,nyt_eng_19980408_0123_3,4,nyt_eng_19980408,1998-04-08,1998,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
27143,nyt_eng_19941031_0354_3:42,also_self-created,also,self-created,"He was not only self-educated , with a love of language that should still be an inspiration to children of any race -LRB- he took his surname from Walter Scott 's  -LBQ-  Lady of the Lake  -RDQ-  -RRB- ; he was also self-created .",nyt_eng_19941031_0354_3,42,nyt_eng_19941031,1994-10-31,1994,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
70227,nyt_eng_19950426_0125_40:3,also_skeptical,also,skeptical,"Carroll was also skeptical of the bomber 's reasoning , saying ,  -LBQ-  You meet one demand and then what 's next ? I certainly do n't believe that he or they will stop until they are caught .  -RDQ-",nyt_eng_19950426_0125_40,3,nyt_eng_19950426,1995-04-26,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
395454,nyt_eng_19971223_0266_109:3,also_worth,also,worth,"It is also worth remembering that left-leaning human-rights activists and right-wing evangelicals are united , not separated , by another distaste .",nyt_eng_19971223_0266_109,3,nyt_eng_19971223,1997-12-23,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
36162,nyt_eng_19970711_0095_26:20,altogether_fair,altogether,fair,"Quite apart from the fact that America needs to talk to China 's boss , this would not be altogether fair .",nyt_eng_19970711_0095_26,20,nyt_eng_19970711,1997-07-11,1997,negative,not_VP-adv,not,VP-adv,True,False
56409,nyt_eng_19950308_0512_14:23,always_afraid,always,afraid,"The leadership originally scheduled the vote on term limits for the middle of the Republicans ' first 100 days because they were always afraid it would lose , said Mason of the Heritage Foundation .",nyt_eng_19950308_0512_14,23,nyt_eng_19950308,1995-03-08,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
208217,nyt_eng_19960622_0137_21:4,always_brief,always,brief,But it is always brief .,nyt_eng_19960622_0137_21,4,nyt_eng_19960622,1996-06-22,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
3988,nyt_eng_19941230_0002_7:8,always_friendly,always,friendly,"The traffic across that border was not always friendly , and by the time Caruthers was  -LBQ-  about 12 or 14 or so ,  -RDQ-  he had been trained in the use of hand grenades and assault rifles .",nyt_eng_19941230_0002_7,8,nyt_eng_19941230,1994-12-30,1994,negative,not_VP-adv,not,VP-adv,True,False
83387,nyt_eng_19950608_0221_18:15,always_good,always,good,"-LBQ-  If you 're going to take kids to music events , it 's always good to be outside because they 're more comfortable in an outdoor setting ,  -RDQ-  she said .",nyt_eng_19950608_0221_18,15,nyt_eng_19950608,1995-06-08,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
268346,nyt_eng_19961220_0005_40:3,always_happy,always,happy,They were always happy and smiling .,nyt_eng_19961220_0005_40,3,nyt_eng_19961220,1996-12-20,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
100561,nyt_eng_19950731_0003_15:4,always_hard,always,hard,-LBQ-  It 's always hard starting over again .  -RDQ-,nyt_eng_19950731_0003_15,4,nyt_eng_19950731,1995-07-31,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
44689,nyt_eng_19950122_0196_37:4,always_important,always,important,"-LBQ-  Character is always important , but based upon what ?  -RDQ-  West said .",nyt_eng_19950122_0196_37,4,nyt_eng_19950122,1995-01-22,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
31768,nyt_eng_19970317_0255_46:5,always_loving,always,loving,your siblings are not always loving and generous .,nyt_eng_19970317_0255_46,5,nyt_eng_19970317,1997-03-17,1997,negative,not_VP-adv,not,VP-adv,True,False
235348,nyt_eng_19960913_0683_10:35,always_open,always,open,"-LBQ-  He turned it into a university ,  -RDQ-  Monsignor Walter Jarvis , who is 92 and taught at Seton Hall for 29 years , said on Friday ,  -LBQ-  and his door was always open .  -RDQ-",nyt_eng_19960913_0683_10,35,nyt_eng_19960913,1996-09-13,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
98559,nyt_eng_19950724_0596_3:5,always_popular,always,popular,"-LBQ-  This exhibit is always popular ,  -RDQ-  Tom Davis , a 4-H agent , said as people stood four deep over a pen of chicks .",nyt_eng_19950724_0596_3,5,nyt_eng_19950724,1995-07-24,1995,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
4495,nyt_eng_19950121_0134_16:30,always_present,always,present,"Nakata and other quake victims said the disaster had in some ways brought out the best in people , inspiring a degree of altruism and cooperation that are not always present in the hurly-burly of mundane jobs .",nyt_eng_19950121_0134_16,30,nyt_eng_19950121,1995-01-21,1995,negative,not_VP-adv,not,VP-adv,True,False
232916,nyt_eng_19960906_0555_25:7,always_safe,always,safe,Not that familiar brands are even always safe .,nyt_eng_19960906_0555_25,7,nyt_eng_19960906,1996-09-06,1996,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
43275,nyt_eng_19980114_0621_36:33,any_different,any,different,"But what if sister Shana had placed fourth instead of eighth ? Would Sundstrom have given up the spot to give her a trip to Olympus ?  -LBQ-  It would n't be any different ,  -RDQ-  Becky insists .",nyt_eng_19980114_0621_36,33,nyt_eng_19980114,1998-01-14,1998,negative,not_VP-adv,not,VP-adv,True,False
439280,nyt_eng_19980516_0118_12:13,any_different,any,different,"In that regard , then , have the Marlins ' deals been any different from the ones Charlie O. Finley made in 1976 when he was the maverick owner of the Oakland Athletics ? Finley sold Vida Blue to the Yankees for $ 1.5 million and Joe Rudi and Rollie Fingers to the Boston Red Sox for $ 2 million .",nyt_eng_19980516_0118_12,13,nyt_eng_19980516,1998-05-16,1998,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
417780,nyt_eng_19980304_0127_16:9,any_good,any,good,I 'm going to see if I 'm any good .  -RDQ-,nyt_eng_19980304_0127_16,9,nyt_eng_19980304,1998-03-04,1998,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
1250,nyt_eng_19940825_0199_52:48,anywhere_near,anywhere,near,"Conventional career-management wisdom would have it that he ought to do a few more movies to establish his drawing power and crank his price up before trying anything as risky as a Broadway play , where critics will be gunning for him and the money is n't anywhere near as good .",nyt_eng_19940825_0199_52,48,nyt_eng_19940825,1994-08-25,1994,negative,not_VP-adv,not,VP-adv,True,False
31075,nyt_eng_19970224_0725_26:7,arbitrarily_subject,arbitrarily,subject,-LBQ-  Big projects ca n't be arbitrarily subject to changes in administration .,nyt_eng_19970224_0725_26,7,nyt_eng_19970224,1997-02-24,1997,negative,not_VP-adv,not,VP-adv,True,False
395641,nyt_eng_19971223_0632_8:16,as_adventuresome,as,adventuresome,"If you begin with a mild fish , like cod , the flavorings can be as adventuresome as you like .",nyt_eng_19971223_0632_8,16,nyt_eng_19971223,1997-12-23,1997,positive,be-ADV-ADJ_positive,be-ADV-ADJ,basic,True,False
