hit_id,category,colloc,adv,adj,sent_text,sent_id,adv_index,json_source,prev_sent,next_sent,hit_id,status
nyt_eng_19940714_0176_21:30,neg-ext-nonsubj,very_welcome,very,welcome,"He ca n't wait , for example , to get out of that silly desert commune -- whose peace-loving brotherhood of residents make it amply clear he 's not very welcome , anyway .",nyt_eng_19940714_0176_21,30,nyt_eng_199407,"Faced with too extreme examples of the hippie lifestyle , Billy gets paranoid and restless .","The good Captain is more comfortable with vague notions of freedom , spirituality and natural simplicity .",nyt_eng_19940714_0176,21:30
nyt_eng_19940714_0176_21:30,neg-ext-nonsubj,very_welcome,very,welcome,"He ca n't wait , for example , to get out of that silly desert commune -- whose peace-loving brotherhood of residents make it amply clear he 's not very welcome , anyway .",nyt_eng_19940714_0176_21,30,nyt_eng_199407,"Faced with too extreme examples of the hippie lifestyle , Billy gets paranoid and restless .","The good Captain is more comfortable with vague notions of freedom , spirituality and natural simplicity .",nyt_eng_19940714_0176,21:30
nyt_eng_19940714_0176_21:30,neg-ext-nonsubj,very_welcome,very,welcome,"He ca n't wait , for example , to get out of that silly desert commune -- whose peace-loving brotherhood of residents make it amply clear he 's not very welcome , anyway .",nyt_eng_19940714_0176_21,30,nyt_eng_199407,"Faced with too extreme examples of the hippie lifestyle , Billy gets paranoid and restless .","The good Captain is more comfortable with vague notions of freedom , spirituality and natural simplicity .",nyt_eng_19940714_0176,21:30
nyt_eng_19940714_0176_21:30,neg-ext-nonsubj,very_welcome,very,welcome,"He ca n't wait , for example , to get out of that silly desert commune -- whose peace-loving brotherhood of residents make it amply clear he 's not very welcome , anyway .",nyt_eng_19940714_0176_21,30,nyt_eng_199407,"Faced with too extreme examples of the hippie lifestyle , Billy gets paranoid and restless .","The good Captain is more comfortable with vague notions of freedom , spirituality and natural simplicity .",nyt_eng_19940714_0176,21:30
nyt_eng_19940714_0451_1:8,neg-ext-nonsubj,so_complicated,so,complicated,"-LBQ-  The city , it is not so complicated ,  -RDQ-  said Macsuara .",nyt_eng_19940714_0451_1,8,nyt_eng_199407,,"-LBQ-  The people , they are complicated .",nyt_eng_19940714_0451,1:8
nyt_eng_19940714_0451_1:8,neg-ext-nonsubj,so_complicated,so,complicated,"-LBQ-  The city , it is not so complicated ,  -RDQ-  said Macsuara .",nyt_eng_19940714_0451_1,8,nyt_eng_199407,,"-LBQ-  The people , they are complicated .",nyt_eng_19940714_0451,1:8
nyt_eng_19940714_0451_1:8,neg-ext-nonsubj,so_complicated,so,complicated,"-LBQ-  The city , it is not so complicated ,  -RDQ-  said Macsuara .",nyt_eng_19940714_0451_1,8,nyt_eng_199407,,"-LBQ-  The people , they are complicated .",nyt_eng_19940714_0451,1:8
nyt_eng_19940714_0451_1:8,neg-ext-nonsubj,so_complicated,so,complicated,"-LBQ-  The city , it is not so complicated ,  -RDQ-  said Macsuara .",nyt_eng_19940714_0451_1,8,nyt_eng_199407,,"-LBQ-  The people , they are complicated .",nyt_eng_19940714_0451,1:8
nyt_eng_19940716_0030_38:10,neg-ext-nonsubj,too_bad,too,bad,"The way I am playing , it 's not too bad for a 44-year-old has-been .  -RDQ-",nyt_eng_19940716_0030_38,10,nyt_eng_199407,"-LBQ-  Earlier this year ,  -RDQ-  Watson said ,  -LBQ-  I said it was really not a matter of if I will win again , just a matter of when . ...",,nyt_eng_19940716_0030,38:10
nyt_eng_19940716_0030_38:10,neg-ext-nonsubj,too_bad,too,bad,"The way I am playing , it 's not too bad for a 44-year-old has-been .  -RDQ-",nyt_eng_19940716_0030_38,10,nyt_eng_199407,"-LBQ-  Earlier this year ,  -RDQ-  Watson said ,  -LBQ-  I said it was really not a matter of if I will win again , just a matter of when . ...",,nyt_eng_19940716_0030,38:10
nyt_eng_19940716_0030_38:10,neg-ext-nonsubj,too_bad,too,bad,"The way I am playing , it 's not too bad for a 44-year-old has-been .  -RDQ-",nyt_eng_19940716_0030_38,10,nyt_eng_199407,"-LBQ-  Earlier this year ,  -RDQ-  Watson said ,  -LBQ-  I said it was really not a matter of if I will win again , just a matter of when . ...",,nyt_eng_19940716_0030,38:10
nyt_eng_19940716_0030_38:10,neg-ext-nonsubj,too_bad,too,bad,"The way I am playing , it 's not too bad for a 44-year-old has-been .  -RDQ-",nyt_eng_19940716_0030_38,10,nyt_eng_199407,"-LBQ-  Earlier this year ,  -RDQ-  Watson said ,  -LBQ-  I said it was really not a matter of if I will win again , just a matter of when . ...",,nyt_eng_19940716_0030,38:10
nyt_eng_19940717_0175_31:12,neg-ext-nonsubj,necessarily_smart,necessarily,smart,"-LBQ-  People who want to help you -- it 's not necessarily smart to spit in their face ,  -RDQ-  he said .",nyt_eng_19940717_0175_31,12,nyt_eng_199407,But he would not go so far as to repudiate the alliance .,-LBQ-  But it may reach a point where I may just ask them to stay out of my race .  -RDQ-,nyt_eng_19940717_0175,31:12
nyt_eng_19940717_0175_31:12,neg-ext-nonsubj,necessarily_smart,necessarily,smart,"-LBQ-  People who want to help you -- it 's not necessarily smart to spit in their face ,  -RDQ-  he said .",nyt_eng_19940717_0175_31,12,nyt_eng_199407,But he would not go so far as to repudiate the alliance .,-LBQ-  But it may reach a point where I may just ask them to stay out of my race .  -RDQ-,nyt_eng_19940717_0175,31:12
nyt_eng_19940717_0175_31:12,neg-ext-nonsubj,necessarily_smart,necessarily,smart,"-LBQ-  People who want to help you -- it 's not necessarily smart to spit in their face ,  -RDQ-  he said .",nyt_eng_19940717_0175_31,12,nyt_eng_199407,But he would not go so far as to repudiate the alliance .,-LBQ-  But it may reach a point where I may just ask them to stay out of my race .  -RDQ-,nyt_eng_19940717_0175,31:12
nyt_eng_19940717_0175_31:12,neg-ext-nonsubj,necessarily_smart,necessarily,smart,"-LBQ-  People who want to help you -- it 's not necessarily smart to spit in their face ,  -RDQ-  he said .",nyt_eng_19940717_0175_31,12,nyt_eng_199407,But he would not go so far as to repudiate the alliance .,-LBQ-  But it may reach a point where I may just ask them to stay out of my race .  -RDQ-,nyt_eng_19940717_0175,31:12
nyt_eng_19940722_0283_2:18,neg-ext-nonsubj,always_apparent,always,apparent,"Today , so dominant are MS-DOS and its associated program , Windows , that it 's not always apparent that there are still several viable alternatives .",nyt_eng_19940722_0283_2,18,nyt_eng_199407,"A decade is a long time in computer years , so it 's easy to forget that when the IBM PC was introduced at the outset of the 80s , Microsoft 's MS-DOS was but one of several operating systems offered for the new machine .","Those alternatives got a boost eight days ago when the United States Department of Justice and Microsoft signed a consent decree requiring the company to halt its longstanding practice of requiring computer manufacturers to pay a licensing fee on each machine sold , whether or not it contained DOS or Windows .",nyt_eng_19940722_0283,2:18
nyt_eng_19940725_0218_3:14,neg-ext-nonsubj,very_pleasant,very,pleasant,"-LBQ-  It does n't impact our everyday work , but it is not very pleasant .  -RDQ-",nyt_eng_19940725_0218_3,14,nyt_eng_199407,"-LBQ-  How would you feel in this situation ?  -RDQ-  asks crew leader Yuri Nikolayev , 43 .","Nikolayev and his crew mates have among the most boring , most crucial jobs in the world .",nyt_eng_19940725_0218,3:14
nyt_eng_19940728_0271_13:18,neg-ext-nonsubj,really_welcome,really,welcome,"U.S. diplomats in London , responsible for the North , made it clear that she was not really welcome , that she was interfering .",nyt_eng_19940728_0271_13,18,nyt_eng_199407,"One of the first trips she made was to Belfast , hoping to talk to politicians from all sides of the guerrilla war that pits the Protestant majority against the Roman Catholic minority .","She was reminded that U.S. policy precludes any contact with Sinn Fein , the political arm of the outlawed Irish Republican Army .",nyt_eng_19940728_0271,13:18
nyt_eng_19940728_0271_13:18,neg-ext-nonsubj,really_welcome,really,welcome,"U.S. diplomats in London , responsible for the North , made it clear that she was not really welcome , that she was interfering .",nyt_eng_19940728_0271_13,18,nyt_eng_199407,"One of the first trips she made was to Belfast , hoping to talk to politicians from all sides of the guerrilla war that pits the Protestant majority against the Roman Catholic minority .","She was reminded that U.S. policy precludes any contact with Sinn Fein , the political arm of the outlawed Irish Republican Army .",nyt_eng_19940728_0271,13:18
nyt_eng_19940728_0271_13:18,neg-ext-nonsubj,really_welcome,really,welcome,"U.S. diplomats in London , responsible for the North , made it clear that she was not really welcome , that she was interfering .",nyt_eng_19940728_0271_13,18,nyt_eng_199407,"One of the first trips she made was to Belfast , hoping to talk to politicians from all sides of the guerrilla war that pits the Protestant majority against the Roman Catholic minority .","She was reminded that U.S. policy precludes any contact with Sinn Fein , the political arm of the outlawed Irish Republican Army .",nyt_eng_19940728_0271,13:18
nyt_eng_19940728_0271_13:18,neg-ext-nonsubj,really_welcome,really,welcome,"U.S. diplomats in London , responsible for the North , made it clear that she was not really welcome , that she was interfering .",nyt_eng_19940728_0271_13,18,nyt_eng_199407,"One of the first trips she made was to Belfast , hoping to talk to politicians from all sides of the guerrilla war that pits the Protestant majority against the Roman Catholic minority .","She was reminded that U.S. policy precludes any contact with Sinn Fein , the political arm of the outlawed Irish Republican Army .",nyt_eng_19940728_0271,13:18
nyt_eng_19940728_0321_1:14,neg-ext-nonsubj,very_good,very,good,Imagine a chief executive telling shareholders that the company 's products are n't very good .,nyt_eng_19940728_0321_1,14,nyt_eng_199407,,Imagine a defense attorney expressing skepticism about his or her client 's innocence .,nyt_eng_19940728_0321,1:14
nyt_eng_19940728_0351_18:15,neg-ext-nonsubj,that_dramatic,that,dramatic,"He argued  -COL-   -LBQ-  The dramatic changes they 're touting , they 're not that dramatic .",nyt_eng_19940728_0351_18,15,nyt_eng_199407,"Rep. Timothy J. Penny , D-Minn . , said that the leadership proposal was simply  -LBQ-  a modestly reworked Clinton plan .  -RDQ-",There 's still an employer mandate .  -RDQ-,nyt_eng_19940728_0351,18:15
nyt_eng_19940728_0351_18:15,neg-ext-nonsubj,that_dramatic,that,dramatic,"He argued  -COL-   -LBQ-  The dramatic changes they 're touting , they 're not that dramatic .",nyt_eng_19940728_0351_18,15,nyt_eng_199407,"Rep. Timothy J. Penny , D-Minn . , said that the leadership proposal was simply  -LBQ-  a modestly reworked Clinton plan .  -RDQ-",There 's still an employer mandate .  -RDQ-,nyt_eng_19940728_0351,18:15
nyt_eng_19940728_0351_18:15,neg-ext-nonsubj,that_dramatic,that,dramatic,"He argued  -COL-   -LBQ-  The dramatic changes they 're touting , they 're not that dramatic .",nyt_eng_19940728_0351_18,15,nyt_eng_199407,"Rep. Timothy J. Penny , D-Minn . , said that the leadership proposal was simply  -LBQ-  a modestly reworked Clinton plan .  -RDQ-",There 's still an employer mandate .  -RDQ-,nyt_eng_19940728_0351,18:15
nyt_eng_19940728_0351_18:15,neg-ext-nonsubj,that_dramatic,that,dramatic,"He argued  -COL-   -LBQ-  The dramatic changes they 're touting , they 're not that dramatic .",nyt_eng_19940728_0351_18,15,nyt_eng_199407,"Rep. Timothy J. Penny , D-Minn . , said that the leadership proposal was simply  -LBQ-  a modestly reworked Clinton plan .  -RDQ-",There 's still an employer mandate .  -RDQ-,nyt_eng_19940728_0351,18:15
nyt_eng_19940729_0240_32:11,neg-ext-nonsubj,as_bad,as,bad,"Mjeanwhile , second-quarter earnings , while disappointing , were not as bad as had been expected , fueling the Bolsa 's slight rebound .",nyt_eng_19940729_0240_32,11,nyt_eng_199407,"In recent days , the interest rate for 28-day cetes dropped .66 percentage points , to 17 percent .","As the election nears , opposition candidates are showing suprising strength , although the ruling party 's replacement candidate , Yale-trained economist Ernesto Zedillo Ponce de Leon , is considered to be in the lead .",nyt_eng_19940729_0240,32:11
nyt_eng_19940729_0240_32:11,neg-ext-nonsubj,as_bad,as,bad,"Mjeanwhile , second-quarter earnings , while disappointing , were not as bad as had been expected , fueling the Bolsa 's slight rebound .",nyt_eng_19940729_0240_32,11,nyt_eng_199407,"In recent days , the interest rate for 28-day cetes dropped .66 percentage points , to 17 percent .","As the election nears , opposition candidates are showing suprising strength , although the ruling party 's replacement candidate , Yale-trained economist Ernesto Zedillo Ponce de Leon , is considered to be in the lead .",nyt_eng_19940729_0240,32:11
nyt_eng_19940729_0240_32:11,neg-ext-nonsubj,as_bad,as,bad,"Mjeanwhile , second-quarter earnings , while disappointing , were not as bad as had been expected , fueling the Bolsa 's slight rebound .",nyt_eng_19940729_0240_32,11,nyt_eng_199407,"In recent days , the interest rate for 28-day cetes dropped .66 percentage points , to 17 percent .","As the election nears , opposition candidates are showing suprising strength , although the ruling party 's replacement candidate , Yale-trained economist Ernesto Zedillo Ponce de Leon , is considered to be in the lead .",nyt_eng_19940729_0240,32:11
nyt_eng_19940729_0240_32:11,neg-ext-nonsubj,as_bad,as,bad,"Mjeanwhile , second-quarter earnings , while disappointing , were not as bad as had been expected , fueling the Bolsa 's slight rebound .",nyt_eng_19940729_0240_32,11,nyt_eng_199407,"In recent days , the interest rate for 28-day cetes dropped .66 percentage points , to 17 percent .","As the election nears , opposition candidates are showing suprising strength , although the ruling party 's replacement candidate , Yale-trained economist Ernesto Zedillo Ponce de Leon , is considered to be in the lead .",nyt_eng_19940729_0240,32:11
nyt_eng_19980507_0108_2:15,neg-ext-nonsubj,as_absurd,as,absurd,"And even though it 's as absurd as ever , it is n't quite as absurd as I once thought .",nyt_eng_19980507_0108_2,15,nyt_eng_199805,The campaign to rescue us from Microsoft Corp. has only gotten stronger these past few months .,"To be sure , the effort to prevent Microsoft from bundling itsbrowser with Windows 95 is still idiotic .",nyt_eng_19980507_0108,2:15
nyt_eng_19980507_0366_20:6,neg-ext-nonsubj,technically_binding,technically,binding,"The order Thursday is not technically binding on the 348 affected planes that are registered outside this country , but most of them will eventually comply .",nyt_eng_19980507_0366_20,6,nyt_eng_199805,"The 737 is the world 's most popular passenger jet , with about 3,000 in service worldwide .",-LRB- STORY CAN END HERE .,nyt_eng_19980507_0366,20:6
nyt_eng_19980507_0366_20:6,neg-ext-nonsubj,technically_binding,technically,binding,"The order Thursday is not technically binding on the 348 affected planes that are registered outside this country , but most of them will eventually comply .",nyt_eng_19980507_0366_20,6,nyt_eng_199805,"The 737 is the world 's most popular passenger jet , with about 3,000 in service worldwide .",-LRB- STORY CAN END HERE .,nyt_eng_19980507_0366,20:6
nyt_eng_19980507_0366_20:6,neg-ext-nonsubj,technically_binding,technically,binding,"The order Thursday is not technically binding on the 348 affected planes that are registered outside this country , but most of them will eventually comply .",nyt_eng_19980507_0366_20,6,nyt_eng_199805,"The 737 is the world 's most popular passenger jet , with about 3,000 in service worldwide .",-LRB- STORY CAN END HERE .,nyt_eng_19980507_0366,20:6
nyt_eng_19980507_0366_20:6,neg-ext-nonsubj,technically_binding,technically,binding,"The order Thursday is not technically binding on the 348 affected planes that are registered outside this country , but most of them will eventually comply .",nyt_eng_19980507_0366_20,6,nyt_eng_199805,"The 737 is the world 's most popular passenger jet , with about 3,000 in service worldwide .",-LRB- STORY CAN END HERE .,nyt_eng_19980507_0366,20:6
nyt_eng_19980508_0129_2:15,neg-ext-nonsubj,as_absurd,as,absurd,"And even though it 's as absurd as ever , it is n't quite as absurd as I once thought .",nyt_eng_19980508_0129_2,15,nyt_eng_199805,The campaign to rescue us from Microsoft Corp. has only gotten stronger these past few months .,"To be sure , the effort to prevent Microsoft from bundling itsbrowser with Windows 95 is still idiotic .",nyt_eng_19980508_0129,2:15
nyt_eng_19980508_0225_1:58,neg-ext-nonsubj,altogether_sound,altogether,sound,"Evidently the crew of the Irondale Ensemble Project , as they developed  -LBQ-  Degenerate Art  -COL-  Germany Attacks the Avant-Garde ,  -RDQ-  decided that their notion that the assault on modern art by the Nazis in the 1930s could be turned into pertinent commentary about current conservative attacks on the National Endowment for the Arts was not altogether sound .",nyt_eng_19980508_0225_1,58,nyt_eng_199805,,"At one quite preachy moment in the performance , an actor steps out of all of his several characters and utters a cautious disclaimer .",nyt_eng_19980508_0225,1:58
nyt_eng_19980511_0146_22:14,neg-ext-nonsubj,that_romantic,that,romantic,People who operate the land for their livelihood _ it 's not always that romantic .,nyt_eng_19980511_0146_22,14,nyt_eng_199805,"But unquestionably one of the things that appealed to me about doing this film was the opportunity to show the lives of people on a ranch , still connected to the land .","It 's no longer an agricultural time , no longer an industrial time .",nyt_eng_19980511_0146,22:14
nyt_eng_19980511_0146_22:14,neg-ext-nonsubj,that_romantic,that,romantic,People who operate the land for their livelihood _ it 's not always that romantic .,nyt_eng_19980511_0146_22,14,nyt_eng_199805,"But unquestionably one of the things that appealed to me about doing this film was the opportunity to show the lives of people on a ranch , still connected to the land .","It 's no longer an agricultural time , no longer an industrial time .",nyt_eng_19980511_0146,22:14
nyt_eng_19980511_0146_22:14,neg-ext-nonsubj,that_romantic,that,romantic,People who operate the land for their livelihood _ it 's not always that romantic .,nyt_eng_19980511_0146_22,14,nyt_eng_199805,"But unquestionably one of the things that appealed to me about doing this film was the opportunity to show the lives of people on a ranch , still connected to the land .","It 's no longer an agricultural time , no longer an industrial time .",nyt_eng_19980511_0146,22:14
nyt_eng_19980511_0146_22:14,neg-ext-nonsubj,that_romantic,that,romantic,People who operate the land for their livelihood _ it 's not always that romantic .,nyt_eng_19980511_0146_22,14,nyt_eng_199805,"But unquestionably one of the things that appealed to me about doing this film was the opportunity to show the lives of people on a ranch , still connected to the land .","It 's no longer an agricultural time , no longer an industrial time .",nyt_eng_19980511_0146,22:14
nyt_eng_19980512_0022_19:10,neg-ext-nonsubj,only_good,only,good,"Every once in a while , it is not only good but necessary to reacquaint our bodies with air , water , soil and sunshine .",nyt_eng_19980512_0022_19,10,nyt_eng_199805,Our feet remember the twisting paths among the tree trunks .,"Every once in a while , it is good to be alone .",nyt_eng_19980512_0022,19:10
nyt_eng_19980512_0022_19:10,neg-ext-nonsubj,only_good,only,good,"Every once in a while , it is not only good but necessary to reacquaint our bodies with air , water , soil and sunshine .",nyt_eng_19980512_0022_19,10,nyt_eng_199805,Our feet remember the twisting paths among the tree trunks .,"Every once in a while , it is good to be alone .",nyt_eng_19980512_0022,19:10
nyt_eng_19980512_0022_19:10,neg-ext-nonsubj,only_good,only,good,"Every once in a while , it is not only good but necessary to reacquaint our bodies with air , water , soil and sunshine .",nyt_eng_19980512_0022_19,10,nyt_eng_199805,Our feet remember the twisting paths among the tree trunks .,"Every once in a while , it is good to be alone .",nyt_eng_19980512_0022,19:10
nyt_eng_19980512_0022_19:10,neg-ext-nonsubj,only_good,only,good,"Every once in a while , it is not only good but necessary to reacquaint our bodies with air , water , soil and sunshine .",nyt_eng_19980512_0022_19,10,nyt_eng_199805,Our feet remember the twisting paths among the tree trunks .,"Every once in a while , it is good to be alone .",nyt_eng_19980512_0022,19:10
nyt_eng_19980514_0111_3:13,neg-ext-nonsubj,particularly_exciting,particularly,exciting,"That 's not necessarily a bad thing , but it 's not particularly exciting either .",nyt_eng_19980514_0111_3,13,nyt_eng_199805,"an actor and as a director in his latest film , the adaptation of Nicholas Evans ' sentimental novel  -LBQ-  The Horse Whisperer .  -RDQ-",The movie is a beautifully filmed homage to both the Old West and Old Redford .,nyt_eng_19980514_0111,3:13
nyt_eng_19980515_0206_3:4,neg-ext-nonsubj,very_mixable,very,mixable,"The pieces are very mixable , not stuck in one era .",nyt_eng_19980515_0206_3,4,nyt_eng_199805,"-LBQ-  Nothing in the showroom is literal , -LRB- there 's -RRB- just a sense of the times .",-LBQ-  Furniture needs sensuality .,nyt_eng_19980515_0206,3:4
nyt_eng_19980515_0208_3:4,neg-ext-nonsubj,very_mixable,very,mixable,"The pieces are very mixable , not stuck in one era .",nyt_eng_19980515_0208_3,4,nyt_eng_199805,"-LBQ-  Nothing in the showroom is literal , -LRB- there 's -RRB- just a sense of the times .",,nyt_eng_19980515_0208,3:4
nyt_eng_19980516_0044_15:18,neg-ext-nonsubj,so_ready,so,ready,"Amid the general jubilation , a small minority of Indians made it clear that they were not so ready to relinquish the image Gandhi bequeathed , of a nation as simple and unaggressive as the Mahatma himself .",nyt_eng_19980516_0044_15,18,nyt_eng_199805,"To be sure , not all Indians welcomed the arrival of the bomb , or shared the prime minister 's casual assumption that India will triumph over the harsh economic sanctions imposed by the United States , Japan , Germany and a dozen other nations .","When the clouds of dust and startled birds had settled over the test sites in the Thar desert , there were some who saw the blasts as the ultimate repudiation of Gandhi 's lesson of nonviolence , and remembered his teaching that  -LBQ-  an eye for an eye only ends up making the whole world blind .  -RDQ-",nyt_eng_19980516_0044,15:18
nyt_eng_19980516_0044_15:18,neg-ext-nonsubj,so_ready,so,ready,"Amid the general jubilation , a small minority of Indians made it clear that they were not so ready to relinquish the image Gandhi bequeathed , of a nation as simple and unaggressive as the Mahatma himself .",nyt_eng_19980516_0044_15,18,nyt_eng_199805,"To be sure , not all Indians welcomed the arrival of the bomb , or shared the prime minister 's casual assumption that India will triumph over the harsh economic sanctions imposed by the United States , Japan , Germany and a dozen other nations .","When the clouds of dust and startled birds had settled over the test sites in the Thar desert , there were some who saw the blasts as the ultimate repudiation of Gandhi 's lesson of nonviolence , and remembered his teaching that  -LBQ-  an eye for an eye only ends up making the whole world blind .  -RDQ-",nyt_eng_19980516_0044,15:18
nyt_eng_19980516_0044_15:18,neg-ext-nonsubj,so_ready,so,ready,"Amid the general jubilation , a small minority of Indians made it clear that they were not so ready to relinquish the image Gandhi bequeathed , of a nation as simple and unaggressive as the Mahatma himself .",nyt_eng_19980516_0044_15,18,nyt_eng_199805,"To be sure , not all Indians welcomed the arrival of the bomb , or shared the prime minister 's casual assumption that India will triumph over the harsh economic sanctions imposed by the United States , Japan , Germany and a dozen other nations .","When the clouds of dust and startled birds had settled over the test sites in the Thar desert , there were some who saw the blasts as the ultimate repudiation of Gandhi 's lesson of nonviolence , and remembered his teaching that  -LBQ-  an eye for an eye only ends up making the whole world blind .  -RDQ-",nyt_eng_19980516_0044,15:18
nyt_eng_19980516_0044_15:18,neg-ext-nonsubj,so_ready,so,ready,"Amid the general jubilation , a small minority of Indians made it clear that they were not so ready to relinquish the image Gandhi bequeathed , of a nation as simple and unaggressive as the Mahatma himself .",nyt_eng_19980516_0044_15,18,nyt_eng_199805,"To be sure , not all Indians welcomed the arrival of the bomb , or shared the prime minister 's casual assumption that India will triumph over the harsh economic sanctions imposed by the United States , Japan , Germany and a dozen other nations .","When the clouds of dust and startled birds had settled over the test sites in the Thar desert , there were some who saw the blasts as the ultimate repudiation of Gandhi 's lesson of nonviolence , and remembered his teaching that  -LBQ-  an eye for an eye only ends up making the whole world blind .  -RDQ-",nyt_eng_19980516_0044,15:18
nyt_eng_19980516_0191_12:12,neg-ext-nonsubj,much_different,much,different,I did n't close the pool gate _ which is n't much different from handing Connor a .38 and turning my back .,nyt_eng_19980516_0191_12,12,nyt_eng_199805,"I knew the pool was loaded , and I left it lying out in the sunshine , a silvery siren for an 11-month-old as fearless as Fosdick .","But thanks to God and a German shepherd named Greta , Connor is squealing and dancing his way around the house again , oblivious to the lesson his mom and dad will never forget  -COL-  Even good parents can screw up , and kids will die for it .",nyt_eng_19980516_0191,12:12
nyt_eng_19980518_0008_7:23,neg-ext-nonsubj,always_positive,always,positive,"-LBQ-  We know we have some injuries ,  -RDQ-  said first baseman Mo Vaughn ,  -LBQ-  and some areas that are not always positive in terms of personnel .",nyt_eng_19980518_0008_7,23,nyt_eng_199805,They are role players who must come through if the Red Sox are to stay close in the American League East .,But we 're still able to do what is necessary to win ballgames .,nyt_eng_19980518_0008,7:23
nyt_eng_19980518_0008_7:23,neg-ext-nonsubj,always_positive,always,positive,"-LBQ-  We know we have some injuries ,  -RDQ-  said first baseman Mo Vaughn ,  -LBQ-  and some areas that are not always positive in terms of personnel .",nyt_eng_19980518_0008_7,23,nyt_eng_199805,They are role players who must come through if the Red Sox are to stay close in the American League East .,But we 're still able to do what is necessary to win ballgames .,nyt_eng_19980518_0008,7:23
